term,source,es,nes,nom_p_value,fdr_q_value,tag_pct,gene_pct,lead_genes
cell-matrix adhesion (GO:0007160),GO_Biological_Process_2021,0.2948271553088445,0.9958943466617742,0.45410628019323673,0.7886112325974702,6/31,13.36%,Adam9;Fbln5;Nid2;Fga;Fgb;Rac1
tumor necrosis factor-mediated signaling pathway (GO:0033209),GO_Biological_Process_2021,0.25333492580567474,0.9787758945657968,0.5741935483870968,0.7939295483508613,10/53,11.04%,Txndc17;Adam17;Psmd6;Psmd5;Psma6;Psmb10;Psmb4;Eif5a;Stat1;Psme3
positive regulation of establishment of protein localization to mitochondrion (GO:1903749),GO_Biological_Process_2021,0.3486385393929519,0.9798069950071686,0.4329501915708812,0.7979926405187502,4/15,9.13%,Bid;Ube2l3;Ywhae;Ywhah
negative regulation of angiogenesis (GO:0016525),GO_Biological_Process_2021,0.32491248425900154,0.9612790310581567,0.5202952029520295,0.8081127174812176,5/18,18.27%,Sulf1;Rock2;Stat1;Tgfb2;Adamts1
Sphingolipid signaling pathway,KEGG_2019_Mouse,0.3400420890574832,0.963119780409417,0.5285171102661597,0.8099130879608888,6/16,16.10%,Ppp2ca;Bid;Bax;Rock2;Rac1;Sptlc2
negative regulation of intracellular signal transduction (GO:1902532),GO_Biological_Process_2021,0.2989736373247545,0.9651592278387909,0.5060728744939271,0.810962940903519,2/25,0.67%,Ppm1a;Ppif
positive regulation of hydrolase activity (GO:0051345),GO_Biological_Process_2021,0.30414763307543446,0.9154861106979849,0.6,0.8152038561960232,7/20,20.43%,Ccl2;Zc3h15;S100a10;Ccl7;Tgm2;Ctsh;Psap
positive regulation of endothelial cell migration (GO:0010595),GO_Biological_Process_2021,0.2870016347948012,0.9177650867336764,0.5668016194331984,0.8155396368451199,4/22,13.36%,Tgfb1;Adam17;Rock2;Rac1
positive regulation of transferase activity (GO:0051347),GO_Biological_Process_2021,0.2951265877844559,0.9655387104636344,0.507537688442211,0.8168128749443314,4/26,5.88%,Tcp1;Pnkp;Tgfb1;Ube2l3
negative regulation of cell adhesion (GO:0007162),GO_Biological_Process_2021,0.331527707433441,0.9681546669865424,0.4925373134328358,0.8168856565998246,3/18,4.80%,Tgfb1;Arhgdib;Plxnb2
FoxO signaling pathway,KEGG_2019_Mouse,0.3099907794387643,0.9195463490231801,0.5823754789272031,0.8170782960074102,2/17,2.06%,Tgfb3;Tgfb1
microtubule cytoskeleton organization involved in mitosis (GO:1902850),GO_Biological_Process_2021,0.3062919989017482,0.9551843484082538,0.49230769230769234,0.8181825853458475,3/22,7.07%,Mad2l1;Rmdn1;Ppp1cc
cell morphogenesis involved in differentiation (GO:0000904),GO_Biological_Process_2021,0.3317732709308371,0.9088692898337896,0.5639097744360902,0.8199210597553201,15/15,67.08%,Rac1;Lamb3;Rhoa;Efna1;Lamc1;Lamb1;Reln;Fn1;Nrp1;Tbcd;Parva;Actn1;Lamb2;Lama5;Fermt2
external encapsulating structure organization (GO:0045229),GO_Biological_Process_2021,0.23473633360890347,0.9200895602012799,0.6557377049180327,0.8220260432160942,7/78,9.03%,Col16a1;Fbln5;Col18a1;Nid2;Mfap2;Mmp14;Adamts4
extracellular structure organization (GO:0043062),GO_Biological_Process_2021,0.23473633360890347,0.9200895602012799,0.6557377049180327,0.8220260432160942,7/78,9.03%,Col16a1;Fbln5;Col18a1;Nid2;Mfap2;Mmp14;Adamts4
circulatory system development (GO:0072359),GO_Biological_Process_2021,0.32434854998921414,0.9094007274884601,0.5870307167235495,0.8244521882417101,4/15,14.09%,Tgfb1;Pdlim1;Rbp4;Tgfb2
Influenza A,KEGG_2019_Mouse,0.3073218629847539,0.9439470245114551,0.5854700854700855,0.8286409477181209,5/21,13.21%,Ccl2;Hnrnpul1;Cyct;Stat1;Actb
cytokine-mediated signaling pathway (GO:0019221),GO_Biological_Process_2021,0.2098760754768132,0.9460122128649837,0.6226415094339622,0.8296425150923132,21/145,11.56%,Tcp1;Rap1b;Cxcl1;Txndc17;Ccl2;Tgfb1;Adam17;Canx;Taldo1;Psmd6;Sod1;Psmd5;Psma6;Psmb10;Arf1;Psmb4;Eif5a;Stat1;Lif;Psme3;Ifitm3
regulation of cell migration (GO:0030334),GO_Biological_Process_2021,0.22939299575043132,0.9265636094048607,0.6910569105691057,0.8300374752254042,13/80,13.52%,Adam9;Tgfb1;Adam17;Sulf1;Plxnb2;Arpin;Mmp14;Rock2;Dpysl3;Macf1;Pdcd10;Rac1;Ccl7
