accession,gene,detected_in,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581
P62827,Ran,treated_only,3280600000.0,3007500000.0,,
P62827;Q61820,Ran;Rasl2-9,control_only,,,2689500000.0,2718000000.0
P62830,Rpl23,treated_only,34097000.0,26256000.0,,
P62838,Ube2d2,treated_only,156640000.0,127510000.0,,
P62843,Rps15,control_only,,,5319400.0,33254000.0
P62849,Rps24,control_only,,,0.0,8920500.0
P62900,Rpl31,treated_only,0.0,40370000.0,,
P62915,Gtf2b,control_only,,,1519500.0,1810400.0
P62996;Q6PFR5,Tra2b;Tra2a,treated_only,1374200.0,6472300.0,,
P63054,Pcp4,control_only,,,9406200.0,0.0
P63094;Q6R0H7;P20612;Q9DC51;Q3V3I2;P50149;P18872;B2RSH2;P08752;Q8CGK7,Gnas;Gnat1;Gnai3;Gnat3;Gnat2;Gnao1;Gnai1;Gnai2;Gnal,control_only,,,66220000.0,86748000.0
P63147,Ube2b,control_only,,,0.0,0.0
P63328,Ppp3ca,control_only,,,107190000.0,320160000.0
P63328;P48453,Ppp3ca;Ppp3cb,treated_only,232190000.0,155030000.0,,
P68033;P62737;P63268;P68134,Actc1;Acta2;Actg2;Acta1,control_only,,,4402100000.0,4382200000.0
P68033;P68134;P62737;P63268,Actc1;Acta1;Acta2;Actg2,treated_only,5362400000.0,7136700000.0,,
P68373,Tuba1c,control_only,,,16591000000.0,11024000000.0
P70399,Tp53bp1,treated_only,0.0,13968000.0,,
P70445,Eif4ebp2,treated_only,16106000.0,7366700.0,,
P70452,Stx4,treated_only,3746500.0,0.0,,
P84084,Arf5,control_only,,,13531000.0,0.0
P84099,Rpl19,treated_only,2147100.0,3659500.0,,
P84228;P68433;P84244;P02301,Hist1h3b;Hist1h3a;H3f3a;H3f3c,control_only,,,290830000.0,1929100000.0
P84244;P84228;P68433;P02301,H3f3a;Hist1h3b;Hist1h3a;H3f3c,treated_only,2820100000.0,2904000000.0,,
P97299,Sfrp2,treated_only,0.0,46668000.0,,
P97314,Csrp2,treated_only,0.0,5767400.0,,
P97425,Ear2,control_only,,,0.0,9350100.0
P97429,Anxa4,control_only,,,0.0,5783700.0
P97447,Fhl1,treated_only,25937000.0,23732000.0,,
P97496,Smarcc1,treated_only,0.0,28887000.0,,
P97499,Tep1,treated_only,3537300.0,0.0,,
P97765,Wbp2,control_only,,,0.0,39769000.0
P97825,Hn1,treated_only,25816000.0,0.0,,
P98064,Masp1,treated_only,24686000.0,0.0,,
Q02248,Ctnnb1,treated_only,0.0,37742000.0,,
Q04690,Nf1,control_only,,,0.0,112480000.0
Q05D44,Eif5b,treated_only,0.0,9044900.0,,
Q06185,Atp5i,control_only,,,4394100.0,5488700.0
Q07456,Ambp,treated_only,9606100.0,0.0,,
Q08024,Cbfb,treated_only,73816000.0,40407000.0,,
Q08189,Tgm3,treated_only,6372000.0,0.0,,
