UniProt Accession Number,Gene names,log2FC,regulated
Q9EPL8,Ipo7,0.5957860244397644,UP
P63085,Mapk1,0.5940432513689166,UP
Q9D0R2,Tars,2.445917074753994,UP
P62137,Ppp1ca,-1.2616091148841564,DOWN
Q8BMJ3,Eif1ax,1.748646019933285,UP
P62869,Tceb2,1.534873666084625,UP
O08810,Eftud2,0.9063474816619012,UP
Q9QZ08,Nagk,0.784769413206767,UP
Q9D0I8,Mrto4,1.9418538173678814,UP
Q9CR00,Psmd9,1.2378019761308234,UP
Q5FWK3,Arhgap1,1.201375242504443,UP
P23116,Eif3a,2.132723372255948,UP
P61965,Wdr5,1.7856415773925742,UP
P14131,Rps16,1.2635263373715897,UP
Q9R0Q7,Ptges3,1.467922255007994,UP
P47811,Mapk14,0.6503477228953347,UP
Q8C0E2,Vps26b,0.9675712846906215,UP
P14206,Rpsa,0.6279027570305309,UP
Q9D892,Itpa,0.7320754815158295,UP
O08716,Fabp9,0.7174292229743646,UP
Q6ZWY9;Q64525;Q64478;P10854,Hist1h2bc;Hist2h2bb;Hist1h2bh;Hist1h2bm,10.097778042964512,UP
P62317,Snrpd2,0.7472324622093197,UP
P70696,Hist1h2ba,-6.833555270006145,DOWN
Q9Z2C8,Ybx2,-1.692124885489719,DOWN
P12032,Timp1,0.7455621429568966,UP
Q08879,Fbln1,1.6041472227933107,UP
Q61081,Cdc37,1.8209131396604314,UP
Q8BU30,Iars,1.3608183992370482,UP
P62715,Ppp2cb,4.070062117057368,UP
Q9D1M0,Sec13,0.7688140889047748,UP
Q9D8B3,Chmp4b,2.2972474672780354,UP
Q61792,Lasp1,1.4524826538760953,UP
Q8VEK3,Hnrnpu,0.5935692462300302,UP
Q6NZB0,Dnajc8,1.0795346093128524,UP
Q9JKB3,Ybx3,3.353103824392939,UP
P07356,Anxa2,0.7194671417940478,UP
P62196,Psmc5,0.9880422409065095,UP
Q61990;P57722,Pcbp2;Pcbp3,0.6285712448536187,UP
Q8BJY1,Psmd5,-0.6698425195092599,DOWN
Q9Z2I9,Sucla2,1.2489436533798313,UP
P62874,Gnb1,1.368878319168405,UP
Q99LS3,Psph,0.6641356562822491,UP
Q9ERF3,Wdr61,1.9277193993751403,UP
Q9CZX8,Rps19,1.44093237953762,UP
O54983,Crym,2.8575764912020363,UP
Q6ZQI3,Mlec,0.7381130805206361,UP
Q3THE2,Myl12b,2.675609256220086,UP
Q9D8S4,Rexo2,1.0291110268593284,UP
P68037,Ube2l3,-0.7279485538217717,DOWN
P99026,Psmb4,-0.6205146079332459,DOWN
Q9JMI7,Tex101,1.3142749028414575,UP
Q8BVU5,Nudt9,1.4568646191898298,UP
Q9CQU0,Txndc12,1.0599622058676115,UP
O89086,Rbm3,2.865187348261792,UP
Q8BHG2,,-0.7898531135965376,DOWN
Q9JI75,Nqo2,-1.305816271233116,DOWN
Q9CYR0,Ssbp1,0.7131730912977032,UP
Q6PE15,Abhd10,2.0383943397485984,UP
Q9R0X4;Q32MW3,Acot9;Acot10,1.1071791599426626,UP
Q9CQ19,Myl9,-1.6695647221619307,DOWN
Q91VM5,Rbmxl1,0.6204344682148651,UP
P62960,Ybx1,1.4329888038693719,UP
Q8K2B3,Sdha,0.9859452988247825,UP
Q91VC3,Eif4a3,1.2380433810300056,UP
Q99KE1,Me2,-0.58593970623114,DOWN
P22907,Hmbs,-2.05371174568956,DOWN
Q9QXZ0,Macf1,-1.3093831938542522,DOWN
P60122,Ruvbl1,-0.8653137289794295,DOWN
Q924X6,Lrp8,2.2483170875951477,UP
Q9JJH1,Rnase4,0.9522355651288256,UP
Q9QXX0,Jag1,1.4095860788829602,UP
Q8C0F9,Prss35,-1.332578844615964,DOWN
Q76KF0,Sema6d,1.500379836178796,UP
Q8BM88,Ctso,0.7711165319614144,UP
P01029,C4b,2.669429410171504,UP
Q9DC11,Plxdc2,1.3920406515813157,UP
Q9DAW9,Cnn3,2.7608653789223174,UP
Q99J36,Thumpd1,1.5983707151218152,UP
Q8VBW6,Nae1,0.6619928905020334,UP
Q9D662,Sec23b,0.899688112060317,UP
O55013,Trappc3,1.0927264294300643,UP
P23506,Pcmt1,0.8445872041451146,UP
Q923G2,Polr2h,0.9670943417946197,UP
Q9EQ80,Nif3l1,1.4690734785286734,UP
Q99LD4,Gps1,1.1320681288564312,UP
Q3TMX7,Qsox2,-2.3102376588445317,DOWN
Q9QZ73,Dcun1d1,0.9381215272206351,UP
Q3UM45,Ppp1r7,1.2825569719104855,UP
P17047,Lamp2,0.7165040878711435,UP
Q8R050;Q149F3,Gspt1;Gspt2,4.157476607729384,UP
P46664,Adss,1.6282536347553784,UP
Q9WUK2,Eif4h,2.6429001392340528,UP
Q8BP48,Metap1,1.0458550221371707,UP
P55264,Adk,-0.9356632634321077,DOWN
P83940,Tceb1,-0.5926783383110842,DOWN
P21300,Akr1b7,-1.197629439925491,DOWN
Q8VDG5,Ppcs,1.9138246162432155,UP
Q9WUZ9,Entpd5,1.8156686062998295,UP
Q8QZS1,Hibch,0.782831706218892,UP
Q8CG72,Adprhl2,0.7576298704631828,UP
P47199,Cryz,1.144009269155152,UP
Q9R1Z7,Pts,1.8566474726931892,UP
P14869,Rplp0,1.5400014615832256,UP
P19536,Cox5b,-0.6575349843951088,DOWN
P84089,Erh,-1.1822855480323857,DOWN
Q99LJ6,Gpx7,1.00449899905991,UP
