© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Coronavirus Pathogenesis Pathway	1.2E01	1.43E-01	-2.414	ADAM17,ADAM9,BAX,CASP3,CCL2,EIF4E,IFNAR2,IRF3,MAPK1,MAPK14,NPM1,PA2G4,RACK1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,STAT1,TGFB1,TNPO2	
mTOR Signaling	1.18E01	1.42E-01	0.707	EIF3A,Eif3c,EIF3E,EIF3F,EIF3H,EIF4A3,EIF4B,EIF4E,EIF4G1,MAPK1,PPM1L,PPP2CA,PPP2CB,PTPA,RACK1,RHEB,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA	
Eukaryotic Translation Elongation	1.18E01	1.7E-01	3.024	RACK1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA	
Regulation of mRNA stability by proteins that bind AU-rich elements	1.18E01	2.33E-01	0.655	ADRM1,ANP32A,EIF4G1,EXOSC2,KHSRP,MAPK14,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,SET	
BAG2 Signaling Pathway	1.12E01	2.33E-01	1.134	ANXA2,BAG2,CASP3,HSP90AA1,MAPK1,MAPK14,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Mitotic G2-G2/M phases	1.08E01	1.45E-01	1.461	ADRM1,CUL1,DCTN2,DCTN3,DYNC1H1,HSP90AA1,PAFAH1B1,PPP1CB,PPP1R12B,PPP2CA,PPP2CB,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,TUBA1A,TUBB2A,TUBB3,YWHAE,YWHAG	
Collagen degradation	1.06E01	2.66E-01	0.728	ADAM17,ADAM9,COL11A1,COL12A1,COL14A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,COL7A1,MMP14,MMP7	
COPII-mediated vesicle transport	1.06E01	2.47E-01	2.828	COL7A1,LMAN2,MCFD2,NAPA,NSF,PPP6C,PPP6R3,RAB1B,SEC13,SEC22B,SEC23A,SEC23B,SEC31A,TRAPPC2L,TRAPPC3,TRAPPC6B,USO1,YKT6	
Inhibition of ARE-Mediated mRNA Degradation Pathway	1.04E01	1.6E-01	0.277	EXOSC2,MAPK1,MAPK14,PABPN1,PPM1L,PPP2CA,PPP2CB,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,PTPA,TNFRSF1B,YWHAE,YWHAG,YWHAH	
Collagen biosynthesis and modifying enzymes	1.03E01	2.54E-01	2.183	COL11A1,COL12A1,COL14A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,COL7A1,P3H1,P4HA1,PLOD3,SERPINH1	
