© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interconversion of nucleotide di- and triphosphates	3.46E00	2.07E-01	-0.816	AK1,DTYMK,GLRX,GUK1,NME3,RRM1	
Gluconeogenesis I	3.46E00	2.07E-01	0.816	ALDOC,ENO3,FBP1,MDH1,ME2,PGK1	
Pentose Phosphate Pathway (Oxidative Branch)	3.44E00	6E-01	NaN	G6PD,H6PD,PGD	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	3.44E00	9.72E-02	1.732	ADAMTS4,ADAMTS5,CAPN2,CASP3,CCL2,IL1RL1,ITGB1,LRP1,MAPK1,MAPK14,MMP14,Mmp3,MMP7,TNFRSF1B	
Role of JAK family kinases in IL-6-type Cytokine Signaling	3.42E00	1.23E-01	0.000	ADAM17,HSP90AA1,LIF,LIFR,MAPK1,MAPK14,STAT1,TGFB1,TGFB3,TIMP1	
ROBO SLIT Signaling Pathway	3.38E00	1.01E-01	-1.155	ACTR3,ARF4,ARPC1A,ARPC2,ARPC5,CASP3,ENAH,MMP14,MMP7,MYL12B,MYL9,SLIT3,TGFB1	
Maturation of TCA enzymes and regulation of TCA cycle	3.37E00	2.5E-01	2.236	ACO2,CS,IDH2,ISCA2,SDHA	
Purine Nucleotides Degradation II (Aerobic)	3.37E00	2.5E-01	1.000	GDA,IMPDH2,NT5C2,NT5C3B,XDH	
Amino acids regulate mTORC1	3.32E00	1.45E-01	-0.707	ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,RHEB,SEC13	
Lysine catabolism	3.3E00	3.33E-01	2.000	CRYM,DLD,DLST,HYKK	
Smooth Muscle Contraction	3.28E00	1.63E-01	1.134	ANXA2,MYH11,MYL12B,MYL9,MYLK,TLN1,TPM3	
Branched-chain amino acid catabolism	3.26E00	2.38E-01	1.342	BCAT2,DLD,ECHS1,HIBCH,IVD	
Cilia Biogenesis Signaling Pathway	3.25E00	8.33E-02	0.000	CUL1,EHD1,FBP1,GNB1,GNG12,MAPK1,MAPK14,PPP1CA,TGFB1,TUBA1A,TUBB2A,Tubb2b,TUBB3,USP9X,YWHAE,YWHAG,YWHAH	
Mitotic Prometaphase	3.23E00	8.29E-02	1.213	CSNK2B,DCTN2,DCTN3,DYNC1H1,HSP90AA1,MAD2L1,NUP37,PAFAH1B1,PPP1CC,PPP2CA,PPP2CB,SEC13,TUBA1A,TUBB2A,TUBB3,YWHAE,YWHAG	
RHO GTPases Activate WASPs and WAVEs	3.21E00	1.59E-01	1.134	ACTB,ACTR3,ARPC1A,ARPC2,ARPC5,BRK1,MAPK1	
Aggrephagy	3.21E00	1.59E-01	2.646	DYNC1H1,HSP90AA1,TUBA1A,TUBB2A,TUBB3,UBE2N,UBE2V1	
Pyrimidine Ribonucleotides De Novo Biosynthesis	3.21E00	1.59E-01	0.447	AK1,CAD,CMPK2,ENTPD5,Nme1,NME3,NUDT16	
Glucose metabolism	3.21E00	1.16E-01	1.265	ALDOC,ENO3,FBP1,NUP37,PGK1,PPP2CA,PPP2CB,SEC13,TPI1,TPR	
Translocation of SLC2A4 (GLUT4) to the plasma membrane	3.17E00	1.25E-01	1.000	ACTB,LNPEP,MYH9,TUBA1A,TUBB2A,TUBB3,YWHAE,YWHAG,YWHAH	
Dopamine Receptor Signaling	3.17E00	1.25E-01	NaN	PCBD1,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PTPA,PTS	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	3.16E00	2.27E-01	-1.000	AK1,CMPK2,DTYMK,Nme1,NME3	
Signaling by Insulin receptor	3.15E00	1.56E-01	-0.378	ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,MAPK1	
Advanced glycosylation endproduct receptor signaling	3.15E00	3.08E-01	2.000	HMGB1,LGALS3,MAPK1,PRKCSH	
Signaling by FGFR2	3.13E00	1.23E-01	1.667	HNRNPF,HNRNPM,MAPK1,POLR2D,POLR2E,POLR2H,POLR2I,PPP2CA,PPP2CB	
CGAS-STING Signaling Pathway	3.1E00	9.42E-02	-1.732	ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,BAX,CCL2,IRF3,LIF,STAT1,TGFB1,TGFB3	
Role of PKR in Interferon Induction and Antiviral Response	3.1E00	9.42E-02	0.632	BAX,BID,CASP3,COLEC12,Cyct,HMGB1,HSP90AA1,IFNAR2,IRF3,MAPK1,MAPK14,NPM1,STAT1	
Thioredoxin Signaling Pathway	3.09E00	1.22E-01	-0.333	ADAM17,C4a/C4b,CASP3,MAPK1,MAPK14,MIF,NXN,RRM1,TXNRD2	
Gene Silencing by RNA	3.07E00	9.35E-02	2.496	ANG,ELAC2,H2AX,HSP90AA1,NUP37,PIWIL2,POLR2D,POLR2E,POLR2H,POLR2I,SEC13,TPR,TSNAX	
Metabolism of non-coding RNA	3.07E00	1.33E-01	1.414	NUP37,SEC13,SNRPD1,SNRPD2,SNRPD3,SNRPF,SNRPG,TPR	
RHO GTPases Activate Formins	3.04E00	9.29E-02	1.387	ACTB,DYNC1H1,ITGB1,MAD2L1,NUP37,PAFAH1B1,PPP1CC,PPP2CA,PPP2CB,SEC13,TUBA1A,TUBB2A,TUBB3	
Epithelial Adherens Junction Signaling	3.03E00	8.86E-02	0.832	ACTR3,ARPC1A,ARPC2,ARPC5,EGFR,IQGAP1,MYL12B,PPM1L,PPP2CA,PPP2CB,PTPA,YWHAE,YWHAG,YWHAH	
Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation	3.02E00	1.31E-01	1.414	ARSB,DNAJC24,ETF1,GAS6,RPL8,SUMF1,SUMF2,ZC3H15	
Nucleotide biosynthesis	3.01E00	2.86E-01	1.000	ADSS2,CAD,GART,IMPDH2	
Guanosine Nucleotides Degradation III	3.01E00	2.86E-01	1.000	GDA,NT5C2,NT5C3B,XDH	
Synaptogenesis Signaling Pathway	2.94E00	6.94E-02	2.236	ACTR3,AP2M1,APOE,ARPC1A,ARPC2,ARPC5,CDH16,CRKL,EFNB1,LRP1,LRP8,MAPK1,MAPK14,NAP1L4,NAPA,NSF,PAFAH1B1,RAB5C,SGTA,THBS2,TLN1,YKT6	
PI3K/AKT Signaling	2.93E00	8.04E-02	0.535	CDC37,EIF4E,GDF15,HSP90AA1,IL1RL1,ITGA3,ITGB1,MAPK1,PPM1L,PPP2CA,PPP2CB,PTPA,RHEB,YWHAE,YWHAG,YWHAH	
Membrane Repair Signaling Pathway	2.92E00	1E-01	2.111	ANXA2,CAPN2,CAVIN1,CD81,CD9,CHMP2A,CHMP3,CHMP4B,NAPA,NSF,YKT6	
Hematoma Resolution Signaling Pathway	2.91E00	7.36E-02	1.414	FGA,HMGB1,IL1RL1,LIF,LRP1,LTF,MAPK1,MAPK14,MMP14,Mmp3,MMP7,NDUFV2,PLAT,SOD1,STAT1,TGFB1,TGFB3,TUBA1A,VPS35	
Phosphorylation and nuclear translocation of the CRY:PER:kinase complex	2.89E00	2.67E-01	-1.000	CSNK2B,PPP1CA,PPP1CB,PPP1CC	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	2.89E00	2.67E-01	NaN	IMPDH2,NT5C2,NT5C3B,XDH	
RHOGDI Signaling	2.89E00	7.73E-02	-0.577	ACTB,ACTR3,ARHGAP1,ARHGDIB,ARPC1A,ARPC2,ARPC5,CDH16,GNB1,GNG12,ITGA3,ITGB1,MYH11,MYH9,MYL12B,MYL9,PPP1R12B	
ERK/MAPK Signaling	2.89E00	7.73E-02	0.535	CRKL,EIF4E,ITGA3,ITGB1,MAPK1,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP1R7,PPP2CA,PPP2CB,PTPA,STAT1,TLN1,YWHAG,YWHAH	
Nuclear Cytoskeleton Signaling Pathway	2.84E00	7.66E-02	1.807	ACTB,CDH16,CSNK2B,CUL1,DCTN2,DCTN3,DYNC1H1,H2AX,ITGA3,ITGB1,LMNB1,NUP37,SEC13,TPR,TUBA1A,TUBB2A,TUBB3	
Mitochondrial protein import	2.84E00	1.23E-01	0.707	ACO2,CS,LDHD,PITRM1,PMPCB,TIMM50,TIMM8B,TIMM9	
tRNA Charging	2.81E00	1.58E-01	2.449	CARS1,GARS1,IARS1,RARS1,TARS1,VARS1	
Inhibition of Matrix Metalloproteases	2.81E00	1.58E-01	0.447	ADAM17,LRP1,MMP14,MMP7,THBS2,TIMP1	
Granzyme B Signaling	2.78E00	2.5E-01	1.000	BID,CASP3,LMNB1,PARP1	
Glutaryl-CoA Degradation	2.78E00	2.5E-01	NaN	Acat2/Acat3,HADH,HSD17B4,L3HYPDH	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	2.76E00	9.57E-02	0.000	ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,BAX,CASP3,MAPK1,MAPK14,PLA2G15	
Syndecan interactions	2.73E00	1.85E-01	1.342	COL1A2,COL5A1,COL5A2,ITGB1,TGFB1	
NFE2L2 regulates pentose phosphate pathway genes	2.73E00	3.75E-01	NaN	G6PD,PGD,TALDO1	
Sucrose Degradation V (Mammalian)	2.73E00	3.75E-01	NaN	ALDOC,TKFC,TPI1	
Role of Tissue Factor in Cancer	2.71E00	7.66E-02	0.000	CASP3,EGFR,EIF4E,FGA,ITGA3,ITGB1,MAPK1,MAPK14,PDIA6,PDXP,PPP2CA,PPP2CB,PTPA,TGFB1,TGFB3,TNFRSF1B	
Glycolysis I	2.66E00	1.79E-01	0.447	ALDOC,ENO3,FBP1,PGK1,TPI1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.66E00	7.81E-02	0.277	APOE,Lyz1/Lyz2,MAPK1,MAPK14,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP1R7,PPP2CA,PPP2CB,PTPA,RBP4,STAT1,TNFRSF1B	
TP53 Regulates Metabolic Genes	2.66E00	1.06E-01	-1.000	COX5A,COX5B,G6PD,MOV10,PRDX5,RHEB,YWHAE,YWHAG,YWHAH	
Parkinson's Signaling Pathway	2.63E00	6.69E-02	-0.447	ACTB,ALDH16A1,ALDH1A2,ALDH1L1,ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,CASP3,GBA1,LIF,MAPK1,MAPK14,NDUFV2,TGFB1,TGFB3,TUBA1A,TUBB2A,TUBB3	
Mechanisms of Viral Exit from Host Cells	2.63E00	1.46E-01	NaN	ACTB,CHMP2A,CHMP3,CHMP4B,LMNB1,VPS28	
Pyrimidine Ribonucleotides Interconversion	2.63E00	1.46E-01	0.000	AK1,CMPK2,ENTPD5,Nme1,NME3,NUDT16	
Intrinsic Pathway for Apoptosis	2.63E00	1.27E-01	-0.378	BAX,BID,CASP3,MAPK1,YWHAE,YWHAG,YWHAH	
Cyclins and Cell Cycle Regulation	2.62E00	1.05E-01	0.816	CDC34,CUL1,PA2G4,PPM1L,PPP2CA,PPP2CB,PTPA,TGFB1,TGFB3	
Netrin Signaling	2.61E00	8E-02	2.138	ACTR3,ARPC1A,ARPC2,ARPC5,DPYSL3,DPYSL4,ENAH,MAPK1,NAPA,NEO1,NSF,PGK1,VASP,YKT6	
Processing of Capped Intronless Pre-mRNA	2.59E00	1.72E-01	-0.447	CPSF7,PABPN1,SNRPD3,SNRPF,SNRPG	
Sirtuin Signaling Pathway	2.59E00	6.76E-02	1.155	ATP5F1D,BAX,G6PD,GABARAPL1,H1-1,IDH2,LDHD,MAPK1,NDUFV2,PARP1,PGK1,PPIF,SDHA,SF3A1,SOD1,TIMM50,TIMM8B,TIMM9,TUBA1A,UQCRFS1	
Dermatan Sulfate Degradation (Metazoa)	2.58E00	2.22E-01	1.000	Chil3/Chil4,GM2A,HEXB,OGA	
ABRA Signaling Pathway	2.55E00	1.02E-01	0.333	ACTB,ACTR3,ITGB1,LIF,MYH11,MYH9,MYL9,PPP1CA,TPM3	
Cargo recognition for clathrin-mediated endocytosis	2.55E00	9.52E-02	1.897	AP2M1,COPS2,COPS4,COPS5,COPS6,COPS8,EGFR,GPS1,LRP2,NEDD8	
Proteasomal PSMD10 Signaling Pathway	2.53E00	8.94E-02	NaN	MAPK1,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,TGFB1	
Osteoarthritis Pathway	2.52E00	7.14E-02	0.000	ADAMTS4,ADAMTS5,ANXA2,ANXA5,CASP3,FRZB,HMGB1,HTRA1,IL1RL1,ITGA3,ITGB1,JAG1,LRP1,RBP4,SPP1,TGFB1,TNFRSF1B	
NAP1L1 Transcription Regulation Signaling Pathway	2.52E00	1.01E-01	2.646	BAX,DLD,HDGF,MAPK1,MYH9,PDHB,TUBA1A,TUBB2A,TUBB3	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	2.48E00	2.11E-01	NaN	Acat2/Acat3,FNTB,HMGCS1,MVD	
Pyrophosphate hydrolysis	2.48E00	6.67E-01	NaN	LHPP,PPA1	
Tyrosine Biosynthesis IV	2.48E00	6.67E-01	NaN	PCBD1,PCBD2	
Granzyme A Signaling	2.47E00	1.08E-01	-1.633	ANP32A,H1-1,HMGB2,LMNB1,NDUFV2,Nme1,PARP1,SET	
Retinoid metabolism and transport	2.47E00	1.36E-01	1.633	APOE,GPC4,LRP1,LRP2,LRP8,RBP4	
Unfolded protein response	2.42E00	9.78E-02	NaN	CANX,DNAJA1,DNAJA2,DNAJB4,DNAJC10,DNAJC8,HSPH1,MBTPS1,PDIA6	
E3 ubiquitin ligases ubiquitinate target proteins	2.41E00	1.17E-01	1.134	CDC73,HLA-A,SKIC8,UBE2A,UBE2L3,UBE2N,UBE2V2	
Sheddase Signaling Pathway	2.41E00	7.35E-02	-0.258	ADAM17,COL1A2,COL4A1,EGFR,IGF2,ITGB1,MAPK1,MAPK14,MMP14,Mmp3,MMP7,POSTN,TGFB1,TGFB3,TIMP1	
Tuberculosis Active Signaling Pathway	2.4E00	6.94E-02	-0.500	ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,BAX,CASP3,IL1RL1,IRF3,MAPK1,MAPK14,MRC2,RACK1,STAT1,TNFRSF1B,UCHL5	
RHO GTPases activate IQGAPs	2.4E00	1.56E-01	1.342	ACTB,IQGAP1,TUBA1A,TUBB2A,TUBB3	
Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells	2.4E00	1.56E-01	0.447	ANXA2,CAPN2,ITGB1,PPP2CA,STAT1	
Agranulocyte Adhesion and Diapedesis	2.39E00	7.11E-02	NaN	ACTB,AOC3,CCL2,Ccl7,CLDN4,Cxcl1,Cxcl5,ITGB1,MMP14,Mmp3,MMP7,MYH11,MYH9,MYL9,PF4,PODXL	
Clathrin-mediated endocytosis	2.37E00	8.53E-02	1.508	ACTB,ACTR3,AP2M1,ARPC1A,ARPC2,ARPC5,CTTN,EGFR,LRP2,RAB5C,TRIP10	
Warburg Effect Signaling Pathway	2.35E00	8.46E-02	0.000	ACACA,CS,EGFR,G6PD,IDH2,MDH1,PGK1,PHGDH,PRDX5,TALDO1,TGFB1	
Signaling by Rho Family GTPases	2.34E00	6.69E-02	0.258	ACTB,ACTR3,ARPC1A,ARPC2,ARPC5,CDH16,GNB1,GNG12,IQGAP1,ITGA3,ITGB1,MAPK1,MYL12B,MYL9,MYLK,PPP1R12B,SEPTIN11,SEPTIN9	
Sialic acid metabolism	2.34E00	1.52E-01	2.236	GLB1,NANP,NEU1,NPL,ST6GAL1	
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	2.33E00	7.45E-02	0.277	AP1G1,AP1M1,AP1S1,AP1S2,CCL2,HMGB1,IRF3,MAD2L1,MAPK1,MMP14,MYH9,STAT1,TGFB1,TGFB3	
Transcriptional and post-translational regulation of MITF-M expression and activity	2.33E00	1.13E-01	0.378	HINT1,IARS1,MAPK1,RARS1,YWHAE,YWHAG,YWHAH	
NRF2-mediated Oxidative Stress Response	2.32E00	6.67E-02	1.633	ACTB,AKR7A2,AOX1,CCT7,CDC34,DNAJA1,DNAJA2,DNAJB4,DNAJC10,DNAJC8,Gsta3,GSTK1,HSP90AA1,MAPK1,MAPK14,NQO2,SOD1,STIP1	
NCAM signaling for neurite out-growth	2.29E00	1.11E-01	2.646	COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,MAPK1,SPTBN1	
XBP1(S) activates chaperone genes	2.28E00	1.25E-01	2.449	EXTL2,HDGF,HYOU1,PDIA6,SEC31A,TLN1	
Germ Cell-Sertoli Cell Junction Signaling	2.28E00	7.6E-02	NaN	ACTB,IQGAP1,ITGA3,ITGB1,JUP,MAPK1,MAPK14,TGFB1,TGFB3,TUBA1A,TUBB2A,Tubb2b,TUBB3	
DYRK1A Signaling Pathway	2.26E00	7.56E-02	1.387	EGFR,ELOB,ELOC,MAPK1,MAPK14,POLR2D,POLR2E,POLR2H,POLR2I,SAT2,YWHAE,YWHAG,YWHAH	
UFMylation Signaling Pathway	2.25E00	1.09E-01	2.646	EIF4A3,EIF4E,EIF4G1,PAIP1,RPN1,UBA5,UFM1	
Leukocyte Extravasation Signaling	2.21E00	7.22E-02	-0.302	ACTB,ARHGAP1,CLDN4,CRKL,CTTN,ITGA3,ITGB1,MAPK1,MAPK14,MMP14,Mmp3,MMP7,TIMP1,VASP	
ESR-mediated signaling	2.2E00	7.74E-02	2.309	FKBP4,GTF2A2,H2AX,HSP90AA1,MAPK1,MOV10,POLR2D,POLR2E,POLR2H,POLR2I,PPP5C,PTGES3	
2-ketoglutarate Dehydrogenase Complex	2.19E00	5E-01	NaN	DLD,DLST	
Phenylalanine Degradation I (Aerobic)	2.19E00	5E-01	NaN	PCBD1,PCBD2	
ATM Signaling	2.18E00	9E-02	0.707	BID,H2AX,MAPK14,PPM1L,PPP1CC,PPP2CA,PPP2CB,PTPA,USP7	
Vitamin D (calciferol) metabolism	2.18E00	2.5E-01	NaN	GC,LRP2,SUMO2	
Purine Nucleotides De Novo Biosynthesis II	2.18E00	2.5E-01	NaN	ADSS2,GART,IMPDH2	
Superpathway of Methionine Degradation	2.17E00	1.39E-01	2.236	AHCY,DLD,MAT2A,MCEE,MTR	
Tryptophan Degradation III (Eukaryotic)	2.17E00	1.74E-01	NaN	Acat2/Acat3,HADH,HSD17B4,L3HYPDH	
Chemokine Signaling	2.17E00	9.64E-02	-0.447	CCL2,MAPK1,MAPK14,MPRIP,PPP1CA,PPP1CB,PPP1CC,PPP1R12B	
Virus Entry via Endocytic Pathways	2.16E00	8.4E-02	1.000	ACTB,AP1G1,AP1M1,AP1S1,AP1S2,AP2M1,AP3D1,FLNB,HLA-A,ITGB1	
ILK Signaling	2.16E00	7.11E-02	0.000	ACTB,CASP3,DSP,FLNB,ITGB1,MAPK1,MYH11,MYH9,MYL9,PPM1L,PPP2CA,PPP2CB,PTPA,TMSB4X	
Assembly of RNA Polymerase II Complex	2.15E00	1.18E-01	1.633	DR1,GTF2A2,POLR2D,POLR2E,POLR2H,POLR2I	
Reelin Signaling in Neurons	2.13E00	7.91E-02	2.530	ACTR3,APOE,ARPC1A,ARPC2,ARPC5,CRKL,ITGA3,ITGB1,LRP8,MAPK1,PAFAH1B1	
Nucleotide Excision Repair Pathway	2.12E00	1.35E-01	NaN	POLR2D,POLR2E,POLR2H,POLR2I,RPA3	
Tumor Microenvironment Pathway	2.1E00	7.22E-02	0.302	CCL2,COL1A2,CSPG4,HLA-A,IGF2,LGALS9,MAPK1,MMP14,Mmp3,MMP7,SPP1,TGFB1,TGFB3	
Mitotic Prophase	2.09E00	7.8E-02	2.714	H2AX,LMNB1,MAPK1,NUP37,PPP2CA,PPP2CB,RAB1B,SEC13,SET,TPR,USO1	
Mitotic Roles of Polo-Like Kinase	2.08E00	1.01E-01	NaN	HSP90AA1,PPM1L,PPP2CA,PPP2CB,PTPA,SLK,TGFB1	
Dissolution of Fibrin Clot	2.08E00	2.31E-01	NaN	ANXA2,PLAT,SERPINE2	
Aryl Hydrocarbon Receptor Signaling	2.06E00	7.14E-02	0.816	ALDH16A1,ALDH1A2,ALDH1L1,BAX,Gsta3,GSTK1,HSP90AA1,MAPK1,NEDD8,NQO2,PTGES3,TGFB1,TGFB3	
Apoptosis Signaling	2.02E00	8.49E-02	-0.707	BAX,BID,CAPN2,CASP3,Cyct,HTRA2,MAPK1,PARP1,TNFRSF1B	
Sensory processing of sound by outer hair cells of the cochlea	1.99E00	1.09E-01	0.816	ACTB,EPB41L3,ESPN,MYH9,SPTBN1,TWF2	
Protein Kinase A Signaling	1.99E00	5.69E-02	0.535	FLNB,GNB1,GNG12,H1-1,MAPK1,MYL12B,MYL9,MYLK,PALM2AKAP2,PDE6D,PLCD1,PPP1CA,PPP1CB,PPP1CC,PPP2CA,PTPRZ1,TGFB1,TGFB3,TIMM50,VASP,YWHAE,YWHAG,YWHAH	
Formation of xylulose-5-phosphate	1.98E00	4E-01	NaN	CRYL1,SORD	
Tetrapyrrole Biosynthesis II	1.98E00	4E-01	NaN	ALAD,HMBS	
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes)	1.98E00	4E-01	NaN	NAGK,NANP	
Glutathione Redox Reactions II	1.98E00	4E-01	NaN	GLRX,TXNDC12	
2-oxobutanoate Degradation I	1.98E00	4E-01	NaN	DLD,MCEE	
RAB GEFs exchange GTP for GDP on RABs	1.97E00	8.89E-02	0.707	RAB18,RAB1B,RAB21,RAB5C,TRAPPC2L,TRAPPC3,TRAPPC6B,YWHAE	
Actin Nucleation by ARP-WASP Complex	1.94E00	8.79E-02	1.414	ACTR3,ARPC1A,ARPC2,ARPC5,ITGA3,ITGB1,PPP1R12B,VASP	
Folate Signaling Pathway	1.92E00	1.05E-01	1.633	AHCY,ALDH1L1,GART,MAPK1,MAT2A,MTR	
Interleukin-4 and Interleukin-13 signaling	1.9E00	8.11E-02	1.000	CCL2,COL1A2,HSP90AA1,ITGB1,LIF,STAT1,TGFB1,TIMP1,TNFRSF1B	
Mevalonate Pathway I	1.9E00	2E-01	NaN	Acat2/Acat3,HMGCS1,MVD	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.88E00	8.6E-02	2.121	ACTB,ACTR3,ARPC1A,ARPC2,ARPC5,MAPK1,TLN1,VASP	
MTOR signalling	1.87E00	1.43E-01	1.000	EIF4B,EIF4E,EIF4G1,RHEB	
Immunogenic Cell Death Signaling Pathway	1.83E00	8.42E-02	2.121	BAX,CASP3,HMGB1,HSP90AA1,IFNAR2,IRF3,LRP1,TNFRSF1B	
Ribonucleotide Reductase Signaling Pathway	1.83E00	6.9E-02	0.000	ACTB,CASP3,CDC34,CUL1,EGFR,EIF4E,MAPK1,MAPK14,PARP1,RRM1,SMARCB1,YBX1	
Protein repair	1.81E00	3.33E-01	NaN	MSRB3,PCMT1	
Pentose Phosphate Pathway (Non-oxidative Branch)	1.81E00	3.33E-01	NaN	RPE,TALDO1	
Estrogen Receptor Signaling	1.8E00	5.48E-02	1.807	ATP5F1D,EGFR,EIF4E,GNB1,GNG12,HSP90AA1,IGF2,MAPK1,MMP14,Mmp3,MMP7,MPRIP,MYL12B,MYL9,NDUFV2,PLCD1,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,SDHA,THRAP3,UQCRFS1	
Death Receptor Signaling	1.78E00	8.25E-02	-0.378	ACTB,ARHGDIB,BID,CASP3,Cyct,HTRA2,PARP1,TNFRSF1B	
mRNA Capping	1.76E00	1.33E-01	2.000	POLR2D,POLR2E,POLR2H,POLR2I	
AMPK Signaling	1.75E00	6.17E-02	0.632	ACACA,ACTB,AK1,CAB39,GNB1,GNG12,MAPK1,MAPK14,PPM1A,PPM1B,PPM1L,PPP2CA,PPP2CB,PTPA,SMARCB1	
IL-17A Signaling in Fibroblasts	1.74E00	8.75E-02	1.633	CCL2,COL1A2,MAPK1,MAPK14,P4HA1,SERPINH1,TGFB1	
Adenosine Nucleotides Degradation II	1.74E00	1.76E-01	NaN	NT5C2,NT5C3B,XDH	
O-linked glycosylation	1.74E00	7.63E-02	-0.333	ADAMTS1,ADAMTS4,ADAMTS5,GALNT1,POFUT2,SEMA5A,SPON2,ST6GAL1,THBS2	
CCR3 Signaling in Eosinophils	1.74E00	7.25E-02	NaN	GNB1,GNG12,MAPK1,MAPK14,MPRIP,MYLK,PPP1CA,PPP1CB,PPP1CC,PPP1R12B	
Binding and Uptake of Ligands by Scavenger Receptors	1.72E00	7.56E-02	1.667	APOE,COL1A2,COL4A1,COLEC12,HSP90AA1,HSPH1,HYOU1,LRP1,SSC5D	
14-3-3-mediated Signaling	1.72E00	7.19E-02	0.447	BAX,MAPK1,PLCD1,TUBA1A,TUBB2A,Tubb2b,TUBB3,YWHAE,YWHAG,YWHAH	
Signaling by NTRK1 (TRKA)	1.72E00	8.64E-02	1.134	AP2M1,CRKL,DNM1L,MAPK1,MAPK14,PPP2CA,PPP2CB	
HMGB1 Signaling	1.71E00	6.88E-02	1.265	CCL2,HAT1,HMGB1,LIF,MAPK1,MAPK14,PLAT,RBBP7,TGFB1,TGFB3,TNFRSF1B	
Insulin Secretion Signaling Pathway	1.7E00	5.84E-02	2.500	DLD,EIF2S2,EIF2S3,EIF4A3,EIF4E,EIF4G1,MAPK1,MAPK14,NAPA,NSF,PAIP1,PDHB,PLCD1,SRP14,STAT1,VPS28,YKT6	
ID1 Signaling Pathway	1.7E00	6.4E-02	-2.496	ATAD5,BAX,EGFR,IGF2,LIF,LIFR,MAPK1,MAPK14,MCAM,PLXNB2,TGFB1,TGFB3,TNFRSF1B	
Peroxisomal protein import	1.69E00	9.38E-02	0.816	AMACR,ECH1,GSTK1,HSD17B4,NUDT19,USP9X	
Fructose metabolism	1.67E00	2.86E-01	NaN	SORD,TKFC	
Thioredoxin Pathway	1.67E00	2.86E-01	NaN	NXN,TXNRD2	
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	1.67E00	2.86E-01	NaN	DLD,PDHB	
RIPK1-mediated regulated necrosis	1.67E00	1.25E-01	1.000	CDC37,HSP90AA1,SDCBP,UBE2L3	
Endosomal Sorting Complex Required For Transport (ESCRT)	1.67E00	1.25E-01	1.000	CHMP2A,CHMP3,CHMP4B,VPS28	
RNA polymerase II transcribes snRNA genes	1.67E00	8.43E-02	1.134	GTF2A2,POLR2D,POLR2E,POLR2H,POLR2I,SRRT,SSU72	
SUMOylation of RNA binding proteins	1.66E00	1.04E-01	2.236	HNRNPK,NUP37,SEC13,SUMO2,TPR	
Tryptophan Degradation X (Mammalian, via Tryptamine)	1.66E00	1.04E-01	NaN	Akr1b7,AKR1D1,AKR7A2,ALDH1A2,ALDH1L1	
Induction of Apoptosis by HIV1	1.63E00	9.09E-02	-0.447	BAX,BID,CASP3,Cyct,HTRA2,TNFRSF1B	
PFKFB4 Signaling Pathway	1.62E00	1.02E-01	0.447	FBP1,MAPK1,TGFB1,TGFB3,XDH	
Activation of Matrix Metalloproteinases	1.62E00	1.21E-01	0.000	COL18A1,MMP14,MMP7,TIMP1	
Unfolded Protein Response (UPR)	1.62E00	1.21E-01	1.000	EIF2S2,EIF2S3,MBTPS1,VPS28	
MAPK targets/ Nuclear events mediated by MAP kinases	1.62E00	1.21E-01	1.000	MAPK1,MAPK14,PPP2CA,PPP2CB	
Inhibition of Angiogenesis by TSP1	1.62E00	1.21E-01	1.000	CASP3,MAPK1,MAPK14,TGFB1	
Oxidative Phosphorylation	1.62E00	7.69E-02	1.134	ATP5F1D,COX5A,COX5B,Cyct,NDUFV2,SDHA,UQCRFS1,UQCRH	
