© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Workspace	My Projects
Project	Testosterone Proteomics 2026-08
Analysis	Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Date	Thu Aug 13 17:04:22 PDT 2026
Analysis ID	43610731

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Regulation of TP53 Activity through Phosphorylation	-0E00		1.08E-02	RAD1	
Regulation of mitotic cell cycle	-0E00		1.10E-02	UBE2S	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	-0E00		1.16E-02	CTNNB1	
Role of NFAT in Regulation of the Immune Response	-0E00		3.82E-03	AKT1,GNG5,HLA-A,MAP2K1	
S100 Family Signaling Pathway	-0E00		1.14E-02	AKT1,BSG,CELSR2,CTNNB1,MAP2K1,MAPK15,MAPK9,MMP13,PLG	
SAPK/JNK Signaling	-0E00		3.98E-03	GNG5,MAPK9	
SIRT1 negatively regulates rRNA expression	-0E00		1.19E-02	H2AJ	
SLAMF Signaling Pathway	-0E00		3.07E-03	AKT1,AP2A1,MMP13	
Senescence Pathway	-0E00		9.90E-03	AKT1,MAP2K1,MAPK15	
Sleep NREM Signaling Pathway	-0E00		8.70E-03	MAP2K1	
Sperm Motility	-0E00		1.13E-02	GNG5,MAP2K1,PLA2R1	
Synaptic Long Term Depression	-0E00		9.71E-03	MAP2K1,PLA2R1	
Synaptic Long Term Potentiation	-0E00		7.63E-03	MAP2K1	
Systemic Lupus Erythematosus Signaling	-0E00		2.81E-03	AKT1,HLA-A,PRPF8	
Systemic Lupus Erythematosus in B Cell Signaling Pathway	-0E00		6.87E-03	AKT1,CTNNB1,Il36a,ISG15,MAP2K1	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	-0E00		9.30E-03	AKT1,H2-Q8,HLA-A,ICOSLG,MAP2K1,MLST8	
T Cell Exhaustion Signaling Pathway	-0E00		5.28E-03	AKT1,HLA-A,MAPK9	
T Cell Receptor Signaling	-0E00		1.13E-02	AKT1,CTNNB1,H2-Q8,HLA-A,ICOSLG,MAP2K1,MLST8	
T Helper Cell Differentiation	-0E00		6.32E-03	HLA-A,ICOSLG,TNFRSF1A	
TCR signaling	-0E00		7.87E-03	UBE2D2	
TEC Kinase Signaling	-0E00		5.18E-03	GNG5,ITGAV,MAPK9	
TRIM21 Intracellular Antibody Signaling Pathway	-0E00		5.27E-03	CTNNB1,MAP1LC3A,RIGI	
Telomere Maintenance	-0E00		8.06E-03	H2AJ	
Transcriptional regulation of white adipocyte differentiation	-0E00		1.19E-02	ANGPTL4	
Transport of bile salts and organic acids, metal ions and amine compounds	-0E00		1.19E-02	BSG	
Type I Diabetes Mellitus Signaling	-0E00		5.84E-03	HLA-A,MAPK9,TNFRSF1A	
UVA-Induced MAPK Signaling	-0E00		9.62E-03	MAPK9	
WNK Renal Signaling Pathway	-0E00		9.26E-03	AKT1	
Zn Homeostasis Signaling Pathway	-0E00		2.77E-03	AKT1,CELSR2,MMP13	
eNOS Signaling	-0E00		6.21E-03	AKT1	
p38 MAPK Signaling	-0E00		8.06E-03	TNFRSF1A	
p70S6K Signaling	-0E00		3.40E-03	AKT1,MAP2K1	
Chemokine Signaling	1.98E-01		1.20E-02	MAP2K1	
Estrogen-Dependent Breast Cancer Signaling	2.01E-01		1.22E-02	AKT1	
Melatonin Signaling	2.04E-01		1.23E-02	MAP2K1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.04E-01		1.23E-02	MAPK9	
IL-17A Signaling in Fibroblasts	2.07E-01		1.25E-02	MAPK9	
IL-7 Signaling Pathway	2.1E-01		1.27E-02	AKT1	
TREM1 Signaling	2.1E-01		1.27E-02	AKT1	
DNA Damage/Telomere Stress Induced Senescence	2.14E-01		1.28E-02	H2AJ	
Maturity Onset Diabetes of Young (MODY) Signaling	2.14E-01		1.28E-02	APPL1	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	2.14E-01		1.28E-02	CTNNB1	
Signaling by NOTCH1	2.14E-01		1.28E-02	ARRB1	
VDR/RXR Activation	2.14E-01		1.28E-02	PDGFA	
Angiopoietin Signaling	2.17E-01		1.30E-02	AKT1	
