© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Workspace	My Projects
Project	Testosterone Proteomics 2026-08
Analysis	Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Date	Thu Aug 13 17:04:22 PDT 2026
Analysis ID	43610731

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
trodusquemine	chemical drug	2	 	 	0.000	5.79E-08	8.00E-04	AKT (family),EGFR,IGF1R,PTPN1,RB (family),trodusquemine	 	36 (6)	5	 	 	 	EGFR,IGF1R,NTRK2	PTPN1	 	 	 	 	
NMS-873	chemical reagent	2	 	 	0.000	5.84E-08	2.83E-02	BAX,CCND1,CDK6,DDB2,FAF2,GNAS,H1-1,ITGB1,KRAS,MYC,NMS-873,NUP133,PIEZO1,PPP3CA,RNF31,TP53	 	72 (16)	15	 	 	 	 	BAX,CHEK1,DCAF7,DUSP1,ERLIN2,GADD45A,ITGB1,MNAT1,MORF4L1,PPP2R2A,RBX1,RTN4,TP53,VCP,YWHAE	 	 	 	 	
S63845	chemical reagent	3	 	 	0.000	5.87E-08	4.48E-02	AKT (family),AKT1,BCL2,BIRC7,CASP3,CASP8,CASP9,DICER1,ERK1/2 (family),GSDME,H2AX,IL18,IL1B,IRF9,JUN,NFKBIA,NOS2,P38 MAPK (family),PTEN,RIPK1,S63845,SARM1,SMAD3,STAT1,STAT3,TLR (family),TP53	 	80 (27)	26	 	 	 	CASP3,reactive oxygen species	 	 	 	 	 	
ENO1	enzyme	2	 	 	0.000	5.97E-08	1.10E-03	AKT (family),CASP3,EGFR,ENO1,ERK1/2 (family),LRP5,MET,PLG,SRC	 	35 (9)	9	3,5-diiodothyronine,AGTRAP,BAP1,CACNA1C,COX17,CSF1,IL15,INSR,M-30,MAP2K1,mono-(2-ethylhexyl)phthalate,PCCA-DT,PRKACA,PSME3,SNHG11,sodium arsenite,TFE3,TGFB1,TUBGCP3,VIRMA,Z-LLL-CHO	amlodipine,CCN2,CDK4/6 (family),CLPP,dasatinib,dichlorovinylcysteine,ESR2,FLCN,FMR1,SB203580,sirolimus,topotecan,torin1,TP-3654,TXNIP	 	CASP3,CHKA,CXCL8,EGFR,FGF18,HK1,LRP6,MLST8,PYRUVATE KINASE (family),SNAI2,VIM	 	 	 	 	 	
platelet activating factor	chemical - endogenous mammalian	2	 	 	0.000	6.01E-08	1.61E-02	AKT (family),AKT1,ALOX5,CCND1,CREB (family),EGFR,ERK (family),ERK1/2 (family),GSK3B,JNK (family),MAPK1,MMP1,MMP14,MMP2,MMP9,NFAT (family),NFKB (complex),NFKBIA,P38 MAPK (family),PI3K (complex),platelet activating factor,PLAU,PRKCA,SLC9A1,SRC,STAT3,TAC1,VEGFA	 	68 (28)	27	capsaicin,F2,N-formyl-Met-Leu-Phe,Pam3-Cys-Ser-Lys4	cucurbitacin B	 	2-arachidonoylglycerol,ALOX5,CASP3,CDKN1A,EGFR,ERK1/2 (family),GPCR (family),MAPK (family),MAPK1,MARCKS,MMP (family),PLAUR,PTGS2,RAC (family),RAP1 (family),reactive oxygen species,ROCK (family),SMPD1,SPHK (family),TAC1,TIMP2,VIM	GAS6,PTAFR	 	 	 	 	
DUSP3	phosphatase	2	 	 	0.000	6.16E-08	3.70E-03	AKT (family),DUSP3,EGFR,ERK (family),FGFR2,INSR,MAPK1,MAPK3,MAPK8,MAPK9	 	47 (10)	9	 	ST6GAL1	 	HEMOGLOBIN (complex)	EGFR,INSR,MAPK1,MAPK9	 	 	 	 	
LAMC2	other	2	 	 	0.000	6.25E-08	2.20E-03	EGFR,ERK1/2 (family),LAMC2,MAPK1,RAC1,SRC,YAP1	 	41 (7)	6	ALOX5,carboplatin,doxorubicin,FGF9,IL1B,JAG1,NPM1,phenacetin,promegestone,TGFA,TGFB1,TP53,USP17L (family),ZEB1	dexmedetomidine,HNF4G,MKRN3,valsartan	 	EGFR,ERK1/2 (family),MAPK1,YAP1	reactive oxygen species	 	 	 	 	
TFAP2A,TFAP2C homodimers:CGA Gene	complex	3	 	 	0.000	6.37E-08	8.00E-03	ADAM17,AKT (family),CGA,CREB (family),CYP19A1,EGFR,FSHR,NFKB (complex),SP1,TFAP2A,TFAP2A,TFAP2C homodimers:CGA Gene,TFAP2C,YAP1	 	54 (13)	12	 	 	 	CGA	 	 	 	 	 	
cinitapride	chemical drug	3	 	 	0.000	6.39E-08	4.10E-03	ADIPOQ,AKT (family),cinitapride,CREB (family),cyclic AMP,EGFR,ERK (family),ERK1/2 (family),G PROTEIN ALPHA I (family),GSK3B,HTR1A,HTR2A,KCNJ2,MEK (family),P38 MAPK (family),SMAD3	 	47 (16)	13	 	 	 	 	 	 	 	 	 	
sodium arsenite	chemical drug	2	 	 	0.000	6.41E-08	1.25E-02	ALOX5,EGFR,EIF2AK2,ERBB2,ERK1/2 (family),ESR1,HIF1A,HSF1,IKBKB,JAK1,JINK1/2 (family),JNK (family),JUN,MAPK14,MAPK8,MAPK9,MEK (family),NFKB (complex),P38 MAPK (family),P70 S6K (family),PRKRA,RAF1,sodium arsenite,STAT3	 	77 (24)	24	 	 	 	ALOX5,ALP (family),BAX,BCL2L11,BIRC5,CDKN1A,CXCL8,EGFR,ELAVL4,ENO1,EPAS1,ERK1/2 (family),FOLR1,HSPA4,HSPB1,JINK1/2 (family),MALAT1,MAPK (family),MAPK9,P70 S6K (family),PCK1,reactive oxygen species,TFE3,TP53	 	 	 	 	 	
tirzepatide	biologic drug	3	 	 	0.000	6.45E-08	1.56E-02	AKT (family),AKT1,CREB (family),CREB1,ELK1,ERK1/2 (family),FOXO1,GAB1,GIP,GIPR,GLP1R,GNAS,HDAC (family),IKBKB,INSULIN (family),IRS2,JNK (family),LPL,MAPK (family),MAPK1,P38 MAPK (family),P70 S6K (family),PI3K (complex),PIK3CA,PIK3R1,PRKAA (family),RAC1,RAF1,SPP1,STK11,tirzepatide	 	64 (31)	27	 	 	 	GIP	 	 	 	 	 	
PT-2385	chemical drug	3	 	 	0.000	6.69E-08	1.85E-02	AKT (family),CTNNB1,EGFR,EPAS1,ERBB4,ERK1/2 (family),IGF1R,MAOA,MITOCHONDRIAL ETC 1 (complex),MTORC1 (complex),MYC,PT-2385	 	61 (12)	11	 	 	 	 	ceramide,EPAS1,NEU3,TRIM28	 	 	 	 	
mir-148 (includes others)	microRNA	3	 	 	0.000	6.70E-08	1.27E-02	ABCA1,AKT (family),ATM,BCL2,BIRC7,CALCINEURIN (complex),CASP3,DICER1,EIF2AK2,ERK1/2 (family),GSDME,H2AX,JINK1/2 (family),LPL,MAPK14,MAPK8,mir-148 (includes others),P38 MAPK (family),PI3K (complex),PRKCD,PTEN,SARM1,SNAI2,STAT1,STAT3,TAFAZZIN,TFRC,YAP1	 	66 (28)	27	decitabine,SSB,TFAP2A	ALOX5,INSULIN (family),PVT1,sorafenib,SOX2	 	CASP3,VIM	BCL2L11,EGFR,ERBB3,FGF (family),MHC I (family),NASP,SNAI2	 	 	 	 	
PDGF-BB (complex)	complex	2	 	 	0.000	6.77E-08	3.81E-02	ABL1,AKT (family),AKT1,ANXA7,CDC42,CDK6,CREB (family),EGFR,EIF4E,ERK1/2 (family),FOXO3,GAB1,GSK3B,IRS1,ITGB1,JNK (family),KLF4,LYN,MAP2K1/2 (family),MAPK1,MAPK3,MEK (family),ODC1,P38 MAPK (family),PDGF-BB (complex),PDGFB,PI3K (complex),PIK3R1,RAF1,RB1,SMAD2,SMAD3,SRC,STAT1,STAT3,TGF BETA (family),TOB1,VAV2	 	76 (38)	38	TAC1	telaglenastat	 	BDKRB2,BRAP,CCL20,CCL7,CCN2,CCR4,CDC42,CDKN1A,CEBPD,CP,CRK,CSF1,CTTN,CXCL8,DUSP1,EDN1,EDNRB,EGFR,ENPP1,EREG,ERK1/2 (family),FGF7,FGFR1,FGR,GADD45A,GEM,GREM1,HBEGF,HDAC4,HMGA2,IGF1R,INSULIN (family),ITGB1,KLHL21,LIMK1,LMNA,MAP2K4,MAPK (family),MAPK1,MLC (family),NPPB,P70 S6K (family),PHLDA1,PIK3CB,PIK3R1,POSTN,PTGS2,PTPN11,RAC (family),reactive oxygen species,RPS6KB1,S1PR2,SH2B1,SHC (family),SKIL,SKP2,SOD2,SPHK (family),TNC,TP53,TRA2B,VAV2,YAP1	AKAP12,FOXS1,GUCY1B1,IGF2,IL1B,NR1H3,TAGLN,TGFB3,TRIB3,YWHAE	 	 	 	 	
METTL3	enzyme	2	 	 	0.000	6.82E-08	1.79E-02	AKT (family),ERK1/2 (family),GLI1,IRF3,METTL3,NOTCH1,PI3K (complex),PRKDC,RELA,STAT3,STAT6,TAFAZZIN,YAP1	 	62 (13)	13	YY1	ALKBH5,doxorubicin,manganese,sevoflurane,sirolimus	 	ANXA1,BAX,CASP3,CCR1,CD9,CDKN1A,COLLAGEN TYPE I (complex),CXCL8,DVL2,ERK1/2 (family),HMGA2,HRAS,IGF2BP3,IL13,MALAT1,NOTCH1,P70 S6K (family),PIK3R1,PINK1,PLOD2,PRKN,PTP4A3,PTPN11,reactive oxygen species,RPRM,SLC2A1,SLC2A2,SMS,SMURF2,SOX2,UBE2C,YAP1	DBT,GPNMB,IFIT2,IFNB1,IL17A,MOB1A,Scd1,STAT6,TP53,VIM	 	 	 	 	
PMP22 gene:EGR2:SOX10:TEAD1:WWTR1,YAP1	complex	2	 	 	0.000	6.84E-08	8.00E-04	EGR2,PMP22 gene:EGR2:SOX10:TEAD1:WWTR1,YAP1,TEAD1,WWTR1,YAP1	 	34 (5)	4	 	 	 	 	 	 	 	 	 	
RAD50	enzyme	2	 	 	0.000	6.89E-08	9.50E-03	AKT (family),H2AX,RAD50,TP53	 	52 (4)	3	ANKHD1,dasatinib,EIF4G1,fingolimod,MALAT1,YAP1	disulfiram,FBXW7,sirolimus	 	CHEK2	 	 	 	 	 	
MUC1	transmembrane receptor	2	 	 	0.000	6.90E-08	1.32E-02	ADAM17,AKT (family),AKT1,CEBPB,FOXO3,IGF2BP1,IKBKB,MAPK1,MAPK14,MAPK8,MEK (family),MET,MMP9,MUC1,NFKBIA,PLAU,RELA	 	58 (17)	17	AGER,AGR2,alitretinoin,HBEGF,IL17A,IL1B,LATS (family),MRTX1133,promegestone,RPS6KB1	salinomycin,ZEB1	 	ADAM17,BIRC5,CHEK1,CSF1,CXCR2,ESR2,FUS,HNRNPK,IFIT2,IFNB1,IL13,MAPK1,MYCL,MYCN,NEAT1_2,NOTCH1,NRP1,SOD2,SOX2,TAP1,TIMP2,TOP1,UBE2L6,USP18,VIM	AXL,CDKN1A,CGA,CXCL8,IGFBP3,reactive oxygen species	 	 	 	 	
SPI1 gene:Nucleosome	complex	3	 	 	0.000	6.95E-08	2.84E-02	AKT (family),AKT1,CREBBP,GATA3,H2AX,IRS1,JAK1,MAPK1,MAPK8,MTOR,PRKDC,SPI1,SPI1 gene:Nucleosome,STAT3,TP53	 	68 (15)	14	 	 	 	 	 	 	 	 	 	
FABP2	transporter	3	 	 	0.000	7.02E-08	6.90E-03	AKT1,CPT1A,FABP2,FASN,HADH,HMGCR,LIPA,LIPE,MYC,P38 MAPK (family),PI3K (complex),PKA CATALYTIC SUBUNIT (family),STAR,YAP1	 	53 (14)	11	clofibric acid,INSULIN (family),palmitic acid,PTK6	EPAS1,GMNN,SOX2,TXNIP	 	 	NR1H3	 	 	 	 	
POSTN	other	2	 	 	0.000	7.05E-08	5.80E-03	ADAM17,AKT (family),EGFR,ERK (family),IKBKB,IL24,LOX,LRP6,POSTN,RELA,SMAD2/3 (family),STAT3	 	49 (12)	12	ADAM8,AGT,CCL20,CCL7,ERK1/2 (family),ESR2,FGF1,FOXS1,IGFBP2,IL13,IL17A,MRTFB,NKX2-3,NTRK1,PDGF-BB (complex),RUNX1,TEAD2,TP53	PNPLA2,SB-431542,SB203580,sirolimus,THZ1,valsartan	 	ADAM17,ALP (family),BGLAP,COLLAGEN (family),LOXL2,LRP6,NOTCH1,PDGFB,STC1,VIM	 	 	 	 	 	
COLLAGEN TYPE I (complex)	complex	2	 	 	0.000	7.12E-08	1.85E-02	AKT (family),CDC42,COLLAGEN TYPE I (complex),CTNNB1,EGFR,ERK1/2 (family),GSK3B,JINK1/2 (family),MAPK1,MAPK8,MMP (family),MMP2,NFKB (complex),P38 MAPK (family),PLAU,PTEN,RELA,SRC	 	60 (18)	18	AGT,ALKBH5,CCN2,EDN1,EPAS1,IGF2,IL13,IL17A,METTL3,norepinephrine,NPM1,OSM,PDGF (family),PDGFC,VHL,YAP1	2-hydroxyestradiol,acyclic retinoid,AGER,dihydrosphingosine 1-phosphate,enalapril,IL1B,mir-29 (includes others),RAPGEF3,salinomycin,Sb202190,SB203580,setanaxib	 	APOE,BAX,CDC42,CTTN,ERK1/2 (family),INTEGRIN (complex),ITGB1,JINK1/2 (family),MAPK (family),MAPK1,MMP (family),MMP10,PLOD2,PTGS2,RAP1 (family),TIMP2,TNC,VIM	EGFR,SKP2	 	 	 	 	
AGER	transmembrane receptor	2	 	 	0.000	7.13E-08	4.17E-02	ACHE,AGER,AKT (family),CDC42,COX4I1,CREB (family),EGFR,ERK1/2 (family),JNK (family),MYD88,NFKB (complex),P38 MAPK (family),RB1,RELA,SMAD2,STAT3,TLR9,TP53,TP73	 	75 (19)	19	AGT,EGLN1,FGF10,FLCN,PRKCZ,RETN,S100A4	dapagliflozin,erteberel,pioglitazone	 	ALP (family),CALCR,CDC42,CDKN1A,CHGA,CSF1,DIAPH1,ERK1/2 (family),MAPK (family),MUC1,MYD88,PTGS2,RAC (family),reactive oxygen species,TF,TGFB1,ULK1,VCAM1	ARG1,CASP3,COLLAGEN (family),COLLAGEN TYPE I (complex),CXCL8,CYTOCHROME-C OXIDASE (complex),EGFR,HECW1,IL4R,NPHS1,SLC40A1	 	 	 	 	
IFNW1	cytokine	2	 	 	0.000	7.19E-08	1.35E-02	AHNAK2,EGFR,IFNW1,KDM2A,MTDH,MYC,PCM1,PML,SP110,STAT1,STAT3,STAT4,TNKS1BP1,URI1	 	61 (14)	13	MYD88	 	 	EGFR,HSPB1,KIF4A,MHC I (family),RTN4	NCAPG	 	 	 	 	
DBT	enzyme	2	 	 	0.000	7.23E-08	9.40E-03	DBT,TP53,YAP1	 	54 (3)	2	AGT,UCP1	MACROD1,METTL3	 	MAPK1	CCN2,YAP1	 	 	 	 	
AXL	kinase	2	 	 	0.000	7.32E-08	1.52E-02	AKT (family),AKT1,AXL,CHUK,EGFR,GSK3B,JUN,JUNB,MAPK1,MMP2,NFKB (complex),NFKBIA,P38 MAPK (family),SMAD3,STAT3,TLR3,TP73,YAP1	 	62 (18)	17	ADI PEG20,AZD8055,BX-912,CD276,crenolanib,CXCR4,EFNA1,enzastaurin,EPAS1,ERBB3,erlotinib,FGFR1,GAS6,GBA1,GRN,HBEGF,IFNB1,IGF1R,INSULIN (family),NRG1,OGT,PDGF (family),reactive oxygen species,sapanisertib,TGFB1,trametinib,YAP/TAZ (family)	C9orf72,CSF1,dubermatinib,fingolimod,FSCN1,HH30134,MAP2K1,MAP4K1,merestinib,miR-143-3p (and other miRNAs w/seed GAGAUGA),mir-34 (includes others),miR-34a-5p (and other miRNAs w/seed GGCAGUG),MMP (family),MUC1,OPCML,plicamycin,PTPN1,valsartan,Y 27632	 	CCN2,ERRFI1,HSPB1,MAPK1,RAC (family)	GNRH (family),IL13,IL17A,IL1B	 	 	 	 	
IL4R	transmembrane receptor	2	 	 	0.000	7.35E-08	2.08E-02	G PROTEIN ALPHA I (family),IL4,IL4R,IRS1,IRS2,JAK (family),JAK1,JAK1/2 (family),JAK3,MYC,PI3K (complex),SOCS1,STAT1,STAT5A,STAT5B,STAT6	 	65 (16)	15	ADIPOQ,AGN194204,CG (complex),D-sphingosine,doxorubicin,IL13,MIF,OSM,RETNLB,SEMA7A,sirolimus,TERC,TGFB1	AGER,APOE,cholestyramine,GIP,NTRK1,PTPN1,SETDB1,sodium orthovanadate,TCR (complex),TP53	 	ARG1,DGKZ,HOMER1,IL9,SHC (family),UCP1	IL17A	 	 	 	 	
emodin	chemical drug	2	 	 	0.000	7.40E-08	2.08E-02	EGFR,emodin,ERBB2,ERK1/2 (family),JNK (family),MAP2K1,MMP2,NFKB (complex),NFKBIA,NOS2,P2RX7,P38 MAPK (family),PTEN,RELA,SMAD2,SMAD3,STAT3	 	64 (17)	16	 	 	 	ADIPOQ,BAX,CDKN1A,IL13,reactive oxygen species	ARG1,BIRC5,CCR1,CXCL8,CXCR4,EGFR,ERK1/2 (family),IL1B,MAP2K1,MAPK (family),MSR1,TGFB1,VCAM1,VIM	 	 	 	 	
GNA11	enzyme	2	 	 	0.000	7.55E-08	5.60E-03	AKT (family),AKT1,EGFR,ERK1/2 (family),GNA11,MTOR,NFKB (complex),PIK3CA,PRKCD,RAC1,YAP1	 	49 (11)	10	AGT,GALR2,GPCR (family),KISS1R,OXTR	 	 	2-arachidonoylglycerol,CCNG1,CTTN,EGFR,PLC BETA (family),YAP1	ERK1/2 (family)	 	 	 	 	
MAP4K1	kinase	2	 	 	0.000	7.57E-08	5.60E-03	AKT (family),CHUK,ERK (family),ERK1/2 (family),IKBKB,JUN,MAP3K7,MAP4K1,MAPK1,MAPK8,MAPK9,MEK (family),NFKB (complex),P38 MAPK (family),PRKACA,YAP1	 	50 (16)	15	GRB2,LCK,sodium orthovanadate,TCR (complex),TGFB1	CDKN2B-AS1,SPRY2	 	CXCR4,MAPK9,PRKACA,PSMD2	AXL,CCL20,CXCL8,IL1B,MAPK1,RAP1 (family),YAP1	 	 	 	 	
MARCHF5	enzyme	3	 	 	0.000	7.59E-08	4.53E-02	AKT (family),BAX,CEBPB,CREB (family),CRMP1,DNM1L,EIF2AK3,ERK1/2 (family),ERN1,GSK3B,HIF1A,IL2RG,IRF1,JAK3,JNK (family),MAPT,MARCHF5,MIEF2,MTOR,NLRP3,P38 MAPK (family),ROCK2,SOD1,SOD2,STAT1,STAT6,STING1,TP53,XBP1	 	77 (29)	26	 	 	 	COL6A1	reactive oxygen species	 	 	 	 	
AZD-1208	chemical drug	3	 	 	0.000	7.62E-08	3.66E-02	AKT (family),AKT1,AR,AZD-1208,BCL2,CDKN1A,CDKN1B,ERK1/2 (family),FOXO3,FOXP3,GSK3B,HSF1,IRF3,MAP3K8,MYB,MYC,NFKB (complex),PIM1,PIM2,PIM3,RUNX1,SMAD2/3 (family),SND1,SOCS1,STAT6	 	78 (25)	23	 	 	 	 	BIRC5	 	 	 	 	
sodium orthovanadate	chemical reagent	2	 	 	0.000	7.62E-08	3.40E-02	AKT (family),AKT1,APP,CD247,CYP19A1,EGFR,ERK (family),ERK1/2 (family),GAB1,GRIN2A,GSK3B,HNRNPK,INSR,IRS2,ITGB3,JNK (family),MAPK1,MAPK14,MLYCD,NFKBIA,PI3K (complex),PTEN,SNCA,sodium orthovanadate,SRC,STAT1,STAT3,STAT6	 	78 (28)	27	 	 	 	ALP (family),CDKN1A,COLLAGEN (family),EGFR,ERK1/2 (family),HNRNPK,IFIT2,INSR,IQGAP1,LCK,MAP4K1,MAPK (family),MAPK1,MSR1,PLAUR,PTPN11,STAT6,STK3,TP53	CASP3,ceramide,CXCL8,cyclic GMP,IL4R,PTPN1,RPS6KB1	 	 	 	 	
EFNA1	other	2	 	 	0.000	7.65E-08	1.62E-02	AKT (family),ALKBH5,CBL,EFNA1,EGFR,ERBB2,ERK (family),ERK1/2 (family),FOSL1,IGF1R,INSR,JUNB,MAPK1,RB1,RET,RPS6KA1,STAT3	 	65 (17)	17	CPE,IL1B,PD173074,S100A4,TP53	SB203580	 	ABCA12,AXL,CDKN1A,EGFR,FRMD6,IGF1R,INSR,PARD3,RAP1 (family),SHB,TIE1	ALKBH5,ARHGAP29,BACH1,BAIAP2L1,CD2AP,ERK1/2 (family),ITGB4,KIF4A,MAPK (family),MAPK1,NDRG1,PCBP2,PTHLH,RAC (family),RPS6KB1,SLC20A1,UBE2C,UBE2S,ZYX	 	 	 	 	
C1QBP	transcription regulator	2	 	 	0.000	7.69E-08	8.40E-03	AKT (family),C1QBP,CTNNB1,EGFR,ERK (family),ERK1/2 (family),IGF1R,INSR,PRKCD,STAT3	 	54 (10)	10	CXCR4,PRKACA,TXNIP	 	 	CXCL8,CYTOCHROME-C OXIDASE (complex),IGF1R,IL1B,INSR,reactive oxygen species	ERK1/2 (family),FGF21,GABPB1	 	 	 	 	
P2RY1	G-protein coupled receptor	3	 	 	0.000	7.72E-08	3.04E-02	AKT (family),Ca2+,CDK9,diacylglycerol,EGFR,ERK1/2 (family),F3,GNAQ,GNAS,ITGB1,LIPE,MAPK1,MAPK8,MTOR,NFKB (complex),NRAS,P2RY1,P2RY2,PI3K (complex),PKC (family),PLC (family),PLC BETA (family),PRKAA (family),PRKCD,PRKCE,PRKCH,RAF1,RAP1B,RB1,RELA,RGS2,RGS4,RHO,RPS6KA1,SLC9A1,SRF,STAT3,TGF BETA (family),TRPV4	 	72 (39)	36	ADP,UTP	clopidogrel,TGFB1	 	COLLAGEN TYPE IV (complex),IGFBP2,PLC BETA (family),VCAM1	 	 	 	 	 	
volinanserin	chemical drug	3	 	 	0.000	7.74E-08	5.70E-03	ADIPOQ,AKT (family),CREB (family),cyclic AMP,EGFR,ERK (family),ERK1/2 (family),G PROTEIN ALPHA I (family),GSK3B,HRH1,HTR1A,HTR2A,KCNJ2,MEK (family),NFAT (family),P38 MAPK (family),SMAD3,volinanserin	 	48 (18)	14	 	 	 	 	GRM1,OXT	 	 	 	 	
INTEGRIN (complex)	complex	2	 	 	0.000	7.77E-08	3.80E-02	AHR,AKT (family),AKT1,CAV1,CDC42,CREB (family),CTNNB1,EGFR,ERK1/2 (family),FN1,HRAS,IGF1R,INTEGRIN (complex),IRS1,ITGAV,ITGB1,ITGB5,JINK1/2 (family),JNK (family),JUN,MAP2K1,MAP2K1/2 (family),MAPK1,P38 MAPK (family),PI3K (complex),PKC (family),RAF1,SMAD2,TGFB1,ZAP70	 	75 (30)	29	ADP,Ala-Tyr-Pro-Gly-Lys-Phe-NH2,ANGPT1,CCL20,CCN2,COLLAGEN TYPE I (complex),CSF1,CXCL8,EPHB1,manganese chloride,MAP4K4,N-formyl-Met-Leu-Phe,NOTCH1,RAP1 (family),SKAP1,SLC3A2	EPHB2,FBLIM1,MYCN,PLAUR	 	CAV1,CDC42,CTTN,EGFR,ERK1/2 (family),IGF1R,JINK1/2 (family),MAP2K1,MAPK (family),MAPK1,PTPN1,reactive oxygen species,RPS6KB1	 	 	 	 	 	
AGR2	other	2	 	 	0.000	7.82E-08	9.90E-03	AGR2,TP53,YAP1	 	54 (3)	2	buparlisib,ESR2,INSR,LOXL2,tamoxifen,trametinib	PA2G4,sirolimus,TGFB1,Z-LLL-CHO	 	EGFR,MUC1,YAP1	CASP3,TP53	 	 	 	 	
CGA	other	2	 	 	0.000	7.83E-08	5.00E-04	CGA,CREB (family),CYP19A1,EGFR,FSHR	 	31 (5)	5	5-N-ethylcarboxamido adenosine,alitretinoin,BAY K8644,GABA,GNRH (family),HMGN3,HRAS,IGSF1,intralipid,LHX4,MAPK1,NFATC4,OTX1,PD173074,PROP1,SB-431542,TAC1,TACR1,TFAP2A,TFAP2A,TFAP2C homodimers:CGA Gene,TRH	ADIPOQ,ANP32A,ARHGAP18,bisindolylmaleimide iv,bromocriptine,clofibric acid,DUSP1,ESR2,mir-103 (includes others),MUC1,OSM,W7,ZEB1	 	CXCL8,EGFR,HEXIM1,HR,PTGS2,SKP2,TP53INP1,TSH (complex),UGT1A1	BAX,FKBP11,GRB2	 	 	 	 	
SNCB	other	2	 	 	0.000	7.85E-08	9.60E-03	26S PROTEASOME (complex),AKT (family),CASP3,SNCB,TP53	 	53 (5)	4	PLK3	INSR,TRIM28	 	 	CASP3,PDPK1,TP53	 	 	 	 	
SKP2	other	2	 	 	0.000	7.96E-08	3.25E-02	CDK9,CDKN1A,CDKN1B,DUSP1,FOS,FOXM1,FOXO1,FOXO3,GABPA,KLF11,MYC,PAX8,RB1,RBL2,SKP2,SMAD4,TOB1,TP53	 	71 (18)	18	25-hydroxycholesterol,calycosin,CGA,DDX25,EDN1,EGFR,F2,IL1B,INSULIN (family),KAT2A,OGT,PDGF-BB (complex),SB203580,SOX2,tamoxifen,testosterone propionate,Y 27632,YAP1,Z-LLL-CHO	2-chloroadenosine,COLLAGEN TYPE I (complex),ESR2,latrunculin B,mir-30 (includes others),mir-8 (includes others),RBL1,RBX1,stattic,thioridazine,TO-901317,torkinib,VHL	 	IL13,NFATC4,S100A4,SLC2A1,VIM,ZEB1	BCL2L11,BID,CASP3,CDKN1A,DUSP1,MYOG,TP53,USP18	 	 	 	 	
SM1-71	chemical drug	2	 	 	0.000	7.98E-08	7.10E-03	AKT (family),CDK9,CSNK2A1,EIF2AK3,ERK1/2 (family),FGFR1,IGF1R,INSR,LYN,MAP2K1,MAP2K2,MAPK1,MAPK3,MARK2,MET,PIK3C3,PRKDC,SM1-71,SRC,TGFBR1,TGFBR2	 	53 (21)	20	 	 	 	 	AGK,BMP2K,EPHB2,ERK1/2 (family),FGFR1,GAK,IGF1R,INSR,LIMK1,MAP2K1,MAPK1	 	 	 	 	
D-sphingosine	chemical - endogenous mammalian	2	 	 	0.000	8.00E-08	4.90E-03	AKT (family),D-sphingosine,EGFR,F2,JUN,MAPK1,MAPK3,MAPK8,P38 MAPK (family),PKC (family),PPP2CA,PRKACA,PRKCA,SGPP1	 	46 (14)	13	SMPD1,SPHK (family),TP53	cucurbitacin B,hydroxypropyl-beta-cyclodextrin,nebivolol,RTN4,TGFB1	 	CASP3,CRK,DGK (family),EGFR,IL4R,PDPK1,PKA II (complex),PPP2CA,PRKACA,PTGS2,reactive oxygen species	AGK,CYTOCHROME-C OXIDASE (complex),F2,MAPK1	 	 	 	 	
PPP2R3A	phosphatase	3	 	 	0.000	8.05E-08	8.60E-03	AKT (family),AKT1,CYCLIN E (family),ERK (family),FOXO3,HISTONE H1 (family),MYC,PPP2R3A,RAF1,RBL1,RPS6KB1,TERT,TOP1	 	51 (13)	11	cordycepin,INSR	 	 	HISTONE H1 (family)	RBL1	 	 	 	 	
