© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Endocannabinoid Cancer Inhibition Pathway	1.57E00	2.72E-02	NaN	CASP6,CDKN1B,MAP2K2,MAPK3	
Leptin Signaling in Obesity	1.57E00	3.57E-02	NaN	MAP2K2,MAPK3,PTPN11	
4-1BB Signaling in T Lymphocytes	1.55E00	5.88E-02	NaN	MAP2K2,MAPK3	
Glucose metabolism	1.54E00	3.49E-02	NaN	ADPGK,NUP58,PCK2	
Nuclear Cytoskeleton Signaling Pathway	1.54E00	2.25E-02	NaN	CDH3,DCTN1,NUP58,TUBA1C,TUBB6	
NAD Signaling Pathway	1.53E00	2.65E-02	NaN	EGF,ETFA,NAPRT,RYR2	
Nucleotide catabolism	1.53E00	5.71E-02	NaN	NT5C,UPP2	
Coenzyme A Biosynthesis	1.52E00	2.5E-01	NaN	PPCDC	
Molybdenum Cofactor Biosynthesis	1.52E00	2.5E-01	NaN	MOCS2	
RAB GEFs exchange GTP for GDP on RABs	1.49E00	3.33E-02	NaN	ALS2,RAB10,TRAPPC10	
Cell junction organization	1.47E00	3.26E-02	NaN	AFDN,CDH3,F11R	
PKR-mediated signaling	1.47E00	3.26E-02	NaN	NCK1,TUBA1C,TUBB6	
TWEAK Signaling	1.46E00	5.26E-02	NaN	CASP6,FADD	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.46E00	3.23E-02	NaN	ARF6,MAPK3,NCK1	
RANK Signaling in Osteoclasts	1.46E00	3.23E-02	NaN	MAP2K2,MAPK3,PPP3CA	
Ovarian Folliculogenesis Signaling Pathway	1.45E00	2.13E-02	NaN	EGF,FADD,GSDMD,MAP2K2,MAPK3	
FLT3 Signaling	1.44E00	5.13E-02	NaN	CDKN1B,PTPN11	
Synaptogenesis Signaling Pathway	1.44E00	1.89E-02	NaN	AFDN,CDH3,EFNA4,EFNA5,GOSR1,MAPK3	
Immunogenic Cell Death Signaling Pathway	1.43E00	3.16E-02	NaN	ANXA1,BCAP31,FADD	
FasL/ CD95L signaling	1.42E00	2E-01	NaN	FADD	
Taurine Biosynthesis	1.42E00	2E-01	NaN	CSAD	
Lysine Degradation II	1.42E00	2E-01	NaN	AASDHPPT	
Myo-inositol Biosynthesis	1.42E00	2E-01	NaN	BPNT2	
Lysine Degradation V	1.42E00	2E-01	NaN	AASDHPPT	
Mitophagy	1.42E00	5E-02	NaN	SQSTM1,UBE2D3	
Signaling by FGFR3	1.42E00	5E-02	NaN	MAPK3,PTPN11	
Prolactin Signaling	1.42E00	3.12E-02	NaN	MAP2K2,MAPK3,PTPN11	
Non-Small Cell Lung Cancer Signaling	1.42E00	3.12E-02	NaN	EGF,MAP2K2,MAPK3	
VEGF Signaling	1.41E00	3.09E-02	NaN	MAP2K2,MAPK3,PTPN11	
Signaling by FGFR4	1.4E00	4.88E-02	NaN	MAPK3,PTPN11	
Interferon gamma signaling	1.4E00	3.06E-02	NaN	HLA-A,MAPK3,PTPN11	
Mitochondrial protein degradation	1.4E00	3.06E-02	NaN	ATP5F1C,CLPP,PDHA1	
Actin Cytoskeleton Signaling	1.39E00	2.05E-02	NaN	EGF,MAP2K2,MAPK3,PFN3,WASF2	
Protein folding	1.39E00	3.03E-02	NaN	TBCE,TUBA1C,TUBB6	
Melanocyte Development and Pigmentation Signaling	1.39E00	3.03E-02	NaN	MAP2K2,MAPK3,PTPN11	
Fcgamma receptor (FCGR) dependent phagocytosis	1.39E00	2.38E-02	NaN	MAPK3,NCK1,NF2,WASF2	
Myelination Signaling Pathway	1.37E00	1.82E-02	NaN	ARF6,MAP2K2,MAPK3,MTHFD2,PPP3CA,PTPN11	
S Phase	1.37E00	2.97E-02	NaN	CDKN1B,CKS1B,SMC1A	
Oncostatin M Signaling	1.36E00	4.65E-02	NaN	MAP2K2,MAPK3	
Pancreatic Secretion Signaling Pathway	1.35E00	1.99E-02	NaN	CLCA2,EGF,GOSR1,MAPK3,RYR2	
TP53 Regulates Transcription of Cell Death Genes	1.35E00	4.55E-02	NaN	CASP6,RABGGTA	
Assembly and cell surface presentation of NMDA receptors	1.35E00	4.55E-02	NaN	TUBA1C,TUBB6	
Aggrephagy	1.35E00	4.55E-02	NaN	TUBA1C,TUBB6	
Mouse Embryonic Stem Cell Pluripotency	1.34E00	2.91E-02	NaN	MAP2K2,MAPK3,PTPN11	
UDP-N-acetyl-D-glucosamine Biosynthesis II	1.34E00	1.67E-01	NaN	GNPNAT1	
Signaling by Insulin receptor	1.33E00	4.44E-02	NaN	ATP6V1E1,MAPK3	
Carboxyterminal post-translational modifications of tubulin	1.33E00	4.44E-02	NaN	TUBA1C,TUBB6	
IGF-1 Signaling	1.32E00	2.86E-02	NaN	MAP2K2,MAPK3,PTPN11	
Apoptosis Signaling	1.31E00	2.83E-02	NaN	CASP6,MAP2K2,MAPK3	
Role of IL-17F in Allergic Inflammatory Airway Diseases	1.31E00	4.35E-02	NaN	MAP2K2,MAPK3	
DNA damage-induced 14-3-3σ Signaling	1.31E00	4.35E-02	NaN	CASP6,CDKN1B	
Hematoma Resolution Signaling Pathway	1.3E00	1.94E-02	NaN	ANXA1,MAPK3,NDUFAB1,NDUFS4,TUBA1C	
Tumor Microenvironment Pathway	1.3E00	2.22E-02	NaN	EGF,HLA-A,MAP2K2,MAPK3	
Tight Junction Signaling	1.29E00	2.21E-02	NaN	AFDN,CPSF6,F11R,GOSR1	
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	1.28E00	1.43E-01	NaN	MTHFD2	
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	1.28E00	1.43E-01	NaN	PDHA1	
RAF/MAP kinase cascade	1.28E00	1.9E-02	NaN	EGF,EREG,MAP2K2,MAPK3,NF1	
Membrane Repair Signaling Pathway	1.27E00	2.73E-02	NaN	ANXA1,ANXA4,GOSR1	
RBP4 in Immune and Metabolic Regulation Signaling Pathway	1.27E00	2.7E-02	NaN	GSDMD,MAPK3,PCK2	
Retinoate Biosynthesis I	1.26E00	4.08E-02	NaN	ADH7,Dhrs4	
PFKFB4 Signaling Pathway	1.26E00	4.08E-02	NaN	MAP2K2,MAPK3	
Cardiac Valve Formation Signaling Pathway	1.26E00	2.16E-02	NaN	EGF,MAPK3,NF1,PPP3CA	
Melanoma Signaling	1.25E00	4E-02	NaN	MAP2K2,MAPK3	
MicroRNA Biogenesis Signaling Pathway	1.25E00	2.14E-02	NaN	EGF,MAPK3,NUP58,QKI	
PD-1, PD-L1 cancer immunotherapy pathway	1.25E00	2.65E-02	NaN	CDKN1B,HLA-A,PTPN11	
NRF2-mediated Oxidative Stress Response	1.24E00	1.85E-02	NaN	CLPP,DNAJC9,MAP2K2,MAPK3,SQSTM1	
Gap junction trafficking and regulation	1.23E00	3.92E-02	NaN	TUBA1C,TUBB6	
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	1.23E00	3.92E-02	NaN	MAPK3,UBE2D3	
UVC-Induced MAPK Signaling	1.23E00	3.92E-02	NaN	MAP2K2,MAPK3	
Cardiac Conduction Signaling Pathway	1.23E00	2.61E-02	NaN	MAPK3,RYR2,SMARCE1	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	1.23E00	2.61E-02	NaN	ATP6V1E1,MAP2K2,MAPK3	
TRAIL signaling	1.22E00	1.25E-01	NaN	FADD	
STAT5 Activation	1.22E00	1.25E-01	NaN	PTPN11	
Glycosphingolipid transport	1.22E00	1.25E-01	NaN	GLTP	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	1.22E00	1.25E-01	NaN	UPP2	
Acute Phase Response Signaling	1.22E00	2.09E-02	NaN	ITIH4,MAP2K2,MAPK3,PTPN11	
Prostate Cancer Signaling	1.22E00	2.59E-02	NaN	CDKN1B,MAP2K2,MAPK3	
Signaling by FGFR1	1.22E00	3.85E-02	NaN	MAPK3,PTPN11	
Apoptotic execution phase	1.22E00	3.85E-02	NaN	BCAP31,CASP6	
TNFR1 Signaling	1.22E00	3.85E-02	NaN	CASP6,FADD	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.21E00	2.08E-02	NaN	COL2A1,Cxcl2,ECE1,EGF	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.21E00	2.08E-02	NaN	NT5C,PPP3CA,PRUNE1,PTPN11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.21E00	2.08E-02	NaN	NT5C,PPP3CA,PRUNE1,PTPN11	
