© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
CXCR4 Signaling	4.31E-01	1.19E-02	NaN	MAP2K2,MAPK3	
Visual phototransduction	4.31E-01	1.67E-02	NaN	NMT2	
Iron uptake and transport	4.31E-01	1.67E-02	NaN	ATP6V1E1	
PCP (Planar Cell Polarity) Pathway	4.31E-01	1.67E-02	NaN	PFN3	
Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation	4.25E-01	1.64E-02	NaN	DHPS	
Assembly of collagen fibrils and other multimeric structures	4.25E-01	1.64E-02	NaN	COL2A1	
Retinoic acid Mediated Apoptosis Signaling	4.25E-01	1.64E-02	NaN	FADD	
Cereblon and Thalidomide Signaling Pathway	4.22E-01	1.17E-02	NaN	MORF4L1,SQSTM1	
Oxytocin Signaling Pathway	4.21E-01	1.05E-02	NaN	MAPK3,NT5C,PPP3CA	
Epithelial Membrane Protein Signaling Pathway	4.15E-01	1.16E-02	NaN	MAP2K2,MAPK3	
Co-inhibition by BTLA	4.14E-01	1.59E-02	NaN	PTPN11	
Signaling by the B Cell Receptor (BCR)	4.12E-01	1.15E-02	NaN	NCK1,PPP3CA	
Androgen Signaling	4.09E-01	1.14E-02	NaN	GTF2B,MAPK3	
Collagen degradation	4.09E-01	1.56E-02	NaN	COL2A1	
Cytosolic sensors of pathogen-associated DNA	4.09E-01	1.56E-02	NaN	POLR1C	
UFMylation Signaling Pathway	4.09E-01	1.56E-02	NaN	RPL26	
Mitochondrial protein import	4.04E-01	1.54E-02	NaN	CHCHD4	
Role of JAK2 in Hormone-like Cytokine Signaling	4.04E-01	1.54E-02	NaN	PTPN11	
Neuropeptides in Migraine Signaling Pathway	4.03E-01	1.13E-02	NaN	MAPK3,NT5C	
ZFX in Tumorigenesis Signaling Pathway	3.99E-01	1.52E-02	NaN	MAPK3	
Induction of Apoptosis by HIV1	3.99E-01	1.52E-02	NaN	FADD	
S100 Family Signaling Pathway	3.95E-01	8.88E-03	NaN	ANXA1,ATP5F1C,EGF,EREG,MAP2K2,MAPK3,RYR2	
Erythropoietin Signaling Pathway	3.94E-01	1.11E-02	NaN	MAP2K2,MAPK3	
PXR/RXR Activation	3.94E-01	1.49E-02	NaN	PCK2	
Agrin Interactions at Neuromuscular Junction	3.89E-01	1.47E-02	NaN	MAPK3	
Aryl Hydrocarbon Receptor Signaling	3.89E-01	1.1E-02	NaN	CDKN1B,MAPK3	
Protein Sorting Signaling Pathway	3.89E-01	1.1E-02	NaN	SNX2,SNX27	
Mitotic Roles of Polo-Like Kinase	3.84E-01	1.45E-02	NaN	SMC1A	
Cell Cycle: G1/S Checkpoint Regulation	3.84E-01	1.45E-02	NaN	CDKN1B	
Glioma Invasiveness Signaling	3.75E-01	1.41E-02	NaN	MAPK3	
SUMOylation of chromatin organization proteins	3.66E-01	1.37E-02	NaN	NUP58	
Regulation of RUNX2 expression and activity	3.66E-01	1.37E-02	NaN	STUB1	
Growth Hormone Signaling	3.66E-01	1.37E-02	NaN	MAPK3	
Ephrin B Signaling	3.66E-01	1.37E-02	NaN	MAPK3	
WNT/Ca2+ Signaling Pathway	3.66E-01	1.37E-02	NaN	PPP3CA	
NOD1/2 Signaling Pathway	3.59E-01	1.04E-02	NaN	MAP2K2,MAPK3	
GNRH Signaling	3.59E-01	1.04E-02	NaN	MAP2K2,MAPK3	
FXR/RXR Activation	3.54E-01	1.03E-02	NaN	NCK1,PCK2	
Cellular response to hypoxia	3.48E-01	1.3E-02	NaN	UBE2D3	
DNA Double Strand Break Response	3.48E-01	1.3E-02	NaN	KPNA2	
HIPPO signaling	3.48E-01	1.3E-02	NaN	NF2	
DNA Damage/Telomere Stress Induced Senescence	3.44E-01	1.28E-02	NaN	CDKN1B	
NF-κB Activation by Viruses	3.44E-01	1.28E-02	NaN	MAPK3	
Oxytocin in Brain Signaling Pathway	3.36E-01	9.9E-03	NaN	MAP2K2,MAPK3	
Pulmonary Healing Signaling Pathway	3.36E-01	9.9E-03	NaN	EGF,MAPK3	
Role of BRCA1 in DNA Damage Response	3.36E-01	1.25E-02	NaN	SMARCE1	
Degradation of the extracellular matrix	3.32E-01	1.23E-02	NaN	CAST	
Neuroinflammation Signaling Pathway	3.31E-01	9.09E-03	NaN	HLA-A,MAPK3,PPP3CA	
Acetylcholine Receptor Signaling Pathway	3.29E-01	9.76E-03	NaN	CASP6,MAPK3	
PPARα/RXRα Activation	3.29E-01	9.76E-03	NaN	MAP2K2,MAPK3	
Estrogen-Dependent Breast Cancer Signaling	3.29E-01	1.22E-02	NaN	MAPK3	
Class A/1 (Rhodopsin-like receptors)	3.27E-01	9.04E-03	NaN	ANXA1,ECE1,PENK	
RNA polymerase II transcribes snRNA genes	3.25E-01	1.2E-02	NaN	GTF2B	
Glutaminergic Receptor Signaling Pathway (Enhanced)	3.24E-01	8.98E-03	NaN	GOSR1,MAPK3,PPP3CA	
IL-8 Signaling	3.22E-01	9.62E-03	NaN	MAP2K2,MAPK3	
Fc epsilon receptor (FCERI) signaling	3.18E-01	9.52E-03	NaN	MAPK3,PPP3CA	
TP53 Regulates Metabolic Genes	3.17E-01	1.18E-02	NaN	GLS2	
Axonal Periodic Cytoskeleton Signaling Pathway	3.17E-01	1.18E-02	NaN	MAPK3	
Platelet homeostasis	3.14E-01	1.16E-02	NaN	PTPN11	
Cyclins and Cell Cycle Regulation	3.14E-01	1.16E-02	NaN	CDKN1B	
Molecular Mechanisms of Cancer	3.09E-01	8.15E-03	NaN	CASP6,EGF,FADD,MAP2K2,MAPK3,NF1,PTPN11	
ABRA Signaling Pathway	3.07E-01	1.14E-02	NaN	PPP3CA	
Keratinization	3.05E-01	9.26E-03	NaN	KRT8,SPRR1B	
B-WICH complex positively regulates rRNA expression	3.03E-01	1.12E-02	NaN	POLR1C	
Cell surface interactions at the vascular wall	3.03E-01	9.22E-03	NaN	F11R,PTPN11	
Ceramide Signaling	2.97E-01	1.1E-02	NaN	MAPK3	
Actin Nucleation by ARP-WASP Complex	2.97E-01	1.1E-02	NaN	NCK1	
Serotonin Receptor Signaling	2.97E-01	8.33E-03	NaN	MAP2K2,MAPK3,RYR2,SQSTM1	
RHOGDI Signaling	2.96E-01	9.09E-03	NaN	CDH3,WASF2	
ERK/MAPK Signaling	2.96E-01	9.09E-03	NaN	MAP2K2,MAPK3	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	2.93E-01	1.09E-02	NaN	Cxcl2	
Regulation of TP53 Activity through Phosphorylation	2.9E-01	1.08E-02	NaN	PIN1	
UBE2C in Cell Cycle Progression Signaling Pathway	2.81E-01	1.04E-02	NaN	SQSTM1	
Serotonin Degradation	2.81E-01	1.04E-02	NaN	ADH7	
p53 Signaling	2.75E-01	1.02E-02	NaN	CASP6	
Crosstalk between Dendritic Cells and Natural Killer Cells	2.75E-01	1.02E-02	NaN	HLA-A	
ATM Signaling	2.69E-01	1E-02	NaN	SMC1A	
Xenobiotic Metabolism CAR Signaling Pathway	2.69E-01	8.55E-03	NaN	MAP2K2,MAPK3	
Neurovascular Coupling Signaling Pathway	2.67E-01	8.51E-03	NaN	NT5C,RYR2	
Sumoylation Pathway	2.66E-01	9.9E-03	NaN	STUB1	
Pyroptosis Signaling Pathway	2.63E-01	9.8E-03	NaN	GSDMD	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	2.58E-01	8.33E-03	NaN	MAPK3,SFRP4	
NoRC negatively regulates rRNA expression	2.58E-01	9.62E-03	NaN	POLR1C	
UVA-Induced MAPK Signaling	2.58E-01	9.62E-03	NaN	MAPK3	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	2.56E-01	7.75E-03	NaN	CASP6,HLA-A,MAP2K2,MAPK3,PPP3CA	
IL-12 Signaling and Production in Macrophages	2.53E-01	8.23E-03	NaN	MAP2K2,MAPK3	
AMPK Signaling	2.53E-01	8.23E-03	NaN	PCK2,SMARCE1	
Neuronal Cancer Synapse Signaling Pathway	2.51E-01	8.2E-03	NaN	MAP2K2,MAPK3	
Extracellular matrix organization	2.5E-01	9.35E-03	NaN	COL2A1	
Sphingolipid metabolism	2.5E-01	9.35E-03	NaN	VAPB	
Post-translational protein phosphorylation	2.5E-01	9.35E-03	NaN	PENK	
Apelin Cardiomyocyte Signaling Pathway	2.5E-01	9.35E-03	NaN	MAPK3	
Neuropathic Pain Signaling in Dorsal Horn Neurons	2.47E-01	9.26E-03	NaN	MAPK3	
NUR77 Signaling in T Lymphocytes	2.47E-01	7.71E-03	NaN	HLA-A,MAP2K2,MAPK3,PPP3CA	
Egg-Sperm Fusion Signaling Pathway	2.45E-01	9.17E-03	NaN	GOSR1	
Interleukin-4 and Interleukin-13 signaling	2.4E-01	9.01E-03	NaN	ANXA1	
Phase I - Functionalization of compounds	2.37E-01	8.93E-03	NaN	ADH7	
Regulation of Actin-based Motility by Rho	2.35E-01	8.85E-03	NaN	PFN3	
Airway Pathology in Chronic Obstructive Pulmonary Disease	2.32E-01	8.77E-03	NaN	Cxcl2	
G alpha (i) signalling events	2.28E-01	7.75E-03	NaN	ANXA1,PENK	
Virus Entry via Endocytic Pathways	2.21E-01	8.4E-03	NaN	HLA-A	
Germ Cell Differentiation Signaling Pathway	2.19E-01	8.33E-03	NaN	TDRD1	
MSP-RON Signaling in Macrophages Pathway	2.19E-01	8.33E-03	NaN	MAPK3	
IL-15 Production	2.14E-01	8.2E-03	NaN	TYRO3	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	2.1E-01	8.06E-03	NaN	PENK	
p38 MAPK Signaling	2.1E-01	8.06E-03	NaN	FADD	
Oxidative Stress Induced Senescence	2.08E-01	8E-03	NaN	MAPK3	
RHOA Signaling	2.08E-01	8E-03	NaN	PFN3	
Antioxidant Action of Vitamin C	2.08E-01	8E-03	NaN	MAPK3	
Th1 Pathway	2.08E-01	8E-03	NaN	HLA-A	
TCR signaling	2.04E-01	7.87E-03	NaN	NCK1	
Cardiac conduction	1.98E-01	7.69E-03	NaN	RYR2	
LXR/RXR Activation	1.98E-01	7.69E-03	NaN	ITIH4	
G Beta Gamma Signaling	1.98E-01	7.69E-03	NaN	MAPK3	
Pulmonary Fibrosis Idiopathic Signaling Pathway	-0E00	6.13E-03	NaN	COL2A1,MAPK3	
SNARE Signaling Pathway	-0E00	7.25E-03	NaN	GOSR1	
Macrophage Classical Activation Signaling Pathway	-0E00	5.32E-03	NaN	PDHA1	
IL-10 Signaling	-0E00	6.45E-03	NaN	HLA-A	
Macrophage Alternative Activation Signaling Pathway	-0E00	5.18E-03	NaN	MAPK3	
Chaperone Mediated Autophagy Signaling Pathway	-0E00	4.7E-03	NaN	ATP6V1E1,PPP3CA,STUB1	
DHCR24 Signaling Pathway	-0E00	6.99E-03	NaN	ITIH4	
Adrenergic Receptor Signaling Pathway (Enhanced)	-0E00	4.88E-03	NaN	ATP6V1E1	
Cachexia Signaling Pathway	-0E00	5.36E-03	NaN	CASP6,MAPK3	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0E00	3.29E-03	NaN	COL2A1,HLA-A	
Beta-catenin independent WNT signaling	-0E00	4.85E-03	NaN	PPP3CA	
G alpha (q) signalling events	-0E00	5.75E-03	NaN	ANXA1	
C-type lectin receptors (CLRs)	-0E00	6.85E-03	NaN	PPP3CA	
Cell Cycle Checkpoints	-0E00	6.83E-03	NaN	CDKN1B,CLASP1	
Transcriptional regulation by RUNX1	-0E00	5.26E-03	NaN	SMARCE1	
KEAP1-NFE2L2 pathway	-0E00	6.54E-03	NaN	SQSTM1	
NAFLD Signaling Pathway	-0E00	4.48E-03	NaN	CASP6	
HEY1 Signaling Pathway	-0E00	6.21E-03	NaN	BPNT2	
IL-27 Signaling Pathway	-0E00	7.52E-03	NaN	HLA-A	
WNT/SHH Axonal Guidance Signaling Pathway	-0E00	6.58E-03	NaN	ARF6	
Cohesin Chromatin Regulation Pathway	-0E00	3.34E-03	NaN	SMC1A	
Histone Modification Signaling Pathway	-0E00	6.67E-03	NaN	HDGFL2,MORF4L1	
Glycation Signaling Pathway	-0E00	4.44E-03	NaN	MAPK3	
Sheddase Signaling Pathway	-0E00	4.9E-03	NaN	MAPK3	
Regulation of endogenous retroelements	-0E00	7.09E-03	NaN	SMARCE1	
Irritable Bowel Syndrome Signaling Pathway	-0E00	3.46E-03	NaN	DEFB119	
Lung Ionic Balance Signaling Pathway	-0E00	3.79E-03	NaN	CLCA2,MAPK3	
TRIM21 Intracellular Antibody Signaling Pathway	-0E00	3.51E-03	NaN	GSDMD,SQSTM1	
ID3 Signaling Pathway	-0E00	3.09E-03	NaN	CDKN1B,EGF,MAPK3	
Zn Homeostasis Signaling Pathway	-0E00	3.69E-03	NaN	ANXA1,MAPK3,PPP3CA,RYR2	
SLAMF Signaling Pathway	-0E00	3.07E-03	NaN	MAPK3,NCK1,PTPN11	
XIST Epigenetic Regulation Signaling Pathway	-0E00	6.49E-03	NaN	PTBP1	
TR/RXR Activation	-0E00	7.63E-03	NaN	STRBP	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	6.49E-03	NaN	MAPK3	
Role of NFAT in Regulation of the Immune Response	-0E00	4.77E-03	NaN	HLA-A,KPNA2,MAP2K2,MAPK3,PPP3CA	
Calcium-induced T Lymphocyte Apoptosis	-0E00	4.29E-03	NaN	HLA-A,PPP3CA	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	7.01E-03	NaN	CASP6,FADD,HLA-A	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	6.55E-03	NaN	HLA-A,MAPK3,NCK1,PTPN11	
T Helper Cell Differentiation	-0E00	2.11E-03	NaN	HLA-A	
CD28 Signaling in T Helper Cells	-0E00	7.65E-03	NaN	HLA-A,MAP2K2,PPP3CA,PTPN11	
IL-15 Signaling	-0E00	3.8E-03	NaN	MAP2K2,MAPK3	
Dendritic Cell Maturation	-0E00	4.88E-03	NaN	COL2A1,HLA-A,MAPK3	
Cellular Effects of Sildenafil (Viagra)	-0E00	4.39E-03	NaN	FADD,MAPK3,PPP3CA	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	3.9E-03	NaN	HLA-A,PPP3CA	
Lipid Antigen Presentation by CD1	-0E00	2.41E-03	NaN	ARF6	
Human Embryonic Stem Cell Pluripotency	-0E00	5E-03	NaN	MAP2K2	
CREB Signaling in Neurons	-0E00	6.44E-03	NaN	EGF,GTF2B,MAP2K2,MAPK3	
Type I Diabetes Mellitus Signaling	-0E00	3.89E-03	NaN	FADD,HLA-A	
Allograft Rejection Signaling	-0E00	2.02E-03	NaN	HLA-A	
Autoimmune Thyroid Disease Signaling	-0E00	2.15E-03	NaN	HLA-A	
Graft-versus-Host Disease Signaling	-0E00	2.22E-03	NaN	HLA-A	
Type II Diabetes Mellitus Signaling	-0E00	6.58E-03	NaN	MAPK3	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	-0E00	5.21E-03	NaN	MAPK3	
p70S6K Signaling	-0E00	5.1E-03	NaN	BCAP31,MAP2K2,MAPK3	
G Protein Signaling Mediated by Tubby	-0E00	2.13E-03	NaN	NCK1	
Communication between Innate and Adaptive Immune Cells	-0E00	1.06E-03	NaN	HLA-A	
Systemic Lupus Erythematosus Signaling	-0E00	2.81E-03	NaN	HLA-A,LSM12,MAPK3	
CDC42 Signaling	-0E00	1.72E-03	NaN	HLA-A	
ILK Signaling	-0E00	5.08E-03	NaN	MAPK3	
FAK Signaling	-0E00	5.8E-03	NaN	EFNA4,EFNA5,EGF,MAP2K2,MAPK3,NCK1	
Hereditary Breast Cancer Signaling	-0E00	7.25E-03	NaN	EGF	
Phospholipase C Signaling	-0E00	2.66E-03	NaN	MAP2K2,MAPK3,PPP3CA	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	1.06E-03	NaN	HLA-A	
Atherosclerosis Signaling	-0E00	7.3E-03	NaN	COL2A1	
B Cell Development	-0E00	2.04E-03	NaN	HLA-A	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	6.42E-03	NaN	MAP2K2,MAPK3,PPP3CA	
PKCθ Signaling in T Lymphocytes	-0E00	5.35E-03	NaN	HLA-A,MAPK3,PPP3CA	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	2.34E-03	NaN	CDKN1B	
OX40 Signaling Pathway	-0E00	2.07E-03	NaN	HLA-A	
PI3K Signaling in B Lymphocytes	-0E00	5.01E-03	NaN	MAP2K2,MAPK3,PPP3CA	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	5.41E-03	NaN	PPP3CA	
eNOS Signaling	-0E00	6.21E-03	NaN	STUB1	
Gαi Signaling	-0E00	6.85E-03	NaN	MAPK3	
Agranulocyte Adhesion and Diapedesis	-0E00	4.44E-03	NaN	Cxcl2	
Granulocyte Adhesion and Diapedesis	-0E00	4.88E-03	NaN	Cxcl2	
Sperm Motility	-0E00	3.77E-03	NaN	TYRO3	
TEC Kinase Signaling	-0E00	1.73E-03	NaN	FADD	
SAPK/JNK Signaling	-0E00	1.99E-03	NaN	FADD	
Cardiac β-adrenergic Signaling	-0E00	5.92E-03	NaN	RYR2	
Xenobiotic Metabolism Signaling	-0E00	6.01E-03	NaN	MAP2K2,MAPK3	
IL-4 Signaling	-0E00	3.47E-03	NaN	COL2A1,MAPK3	
B Cell Receptor Signaling	-0E00	6.26E-03	NaN	MAP2K2,MAPK3,PPP3CA,PTPN11	
NF-κB Signaling	-0E00	3.5E-03	NaN	EGF,FADD	
G-Protein Coupled Receptor Signaling	-0E00	4.23E-03	NaN	MAP2K2,MAPK3,PPP3CA	
Phagosome Formation	-0E00	5.66E-03	NaN	ARF6,MAP2K2,MAPK3,WASF2	
Th1 and Th2 Activation Pathway	-0E00	5.68E-03	NaN	HLA-A	
Th2 Pathway	-0E00	7.09E-03	NaN	HLA-A	
Th17 Activation Pathway	-0E00	2.04E-03	NaN	DEFB119	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	7.38E-03	NaN	MAP2K2,MAPK3,PPP3CA,RYR2	
T Cell Exhaustion Signaling Pathway	-0E00	5.28E-03	NaN	HLA-A,MAPK3,PTPN11	
Systemic Lupus Erythematosus in B Cell Signaling Pathway	-0E00	5.49E-03	NaN	MAP2K2,MAPK3,PPP3CA,PTPN11	
Inhibition of ARE-Mediated mRNA Degradation Pathway	-0E00	6.13E-03	NaN	MAPK3	
Hepatic Fibrosis Signaling Pathway	-0E00	7.21E-03	NaN	CDKN1B,MAP2K2,MAPK3	
Semaphorin Neuronal Repulsive Signaling Pathway	-0E00	6.71E-03	NaN	MAP2K2	
Eicosanoid Signaling	-0E00	6.92E-03	NaN	MAP2K2,MAPK3	
